label,timeset,weight<total_link_strength>,weight<norm._citations>,score<citations>,score<norm._citations>,score<pub._year>,weight<links>,weight<citations>,cluster,title,source,description,url,id,main_topic
dhakal (2010),,279,2.2579,54,2.2579,2010,129,54,3,ghg emissions from urbanization and opportunities for urban carbon mitigation,current opinion in environmental sustainability,"<table><tr><td>Authors:</td><td>dhakal, s</td></tr><tr><td>Title:</td><td>ghg emissions from urbanization and opportunities for urban carbon mitigation</td></tr><tr><td>Source:</td><td>current opinion in environmental sustainability, 2(4), 277-283</td></tr><tr><td>Year:</td><td>2010</td></tr></table>",http://dx.doi.org/10.1016/j.cosust.2010.05.007,1832,
bader (2010),,137,1.798,43,1.798,2010,65,43,5,disparities in neighborhood food environments: implications of measurement strategies,economic geography,"<table><tr><td>Authors:</td><td>bader, mdm; purciel, m; yousefzadeh, p; neckerman, km</td></tr><tr><td>Title:</td><td>disparities in neighborhood food environments: implications of measurement strategies</td></tr><tr><td>Source:</td><td>economic geography, 86(4), 409-430</td></tr><tr><td>Year:</td><td>2010</td></tr></table>",http://dx.doi.org/10.1111/j.1944-8287.2010.01084.x,1833,"{activ, school, health}"
moore (2010),,130,0.6272,15,0.6272,2010,120,15,2,the role of vmt reduction in meeting climate change policy goals,transportation research part a-policy and practice,"<table><tr><td>Authors:</td><td>moore, at; staley, sr; poole, rw</td></tr><tr><td>Title:</td><td>the role of vmt reduction in meeting climate change policy goals</td></tr><tr><td>Source:</td><td>transportation research part a-policy and practice, 44(8), 565-574</td></tr><tr><td>Year:</td><td>2010</td></tr></table>",http://dx.doi.org/10.1016/j.tra.2010.03.012,1852,
liu (2010),,275,0.5854,14,0.5854,2010,190,14,1,a framework for evaluating the dynamic impacts of a congestion pricing policy for a transportation socioeconomic system,transportation research part a-policy and practice,"<table><tr><td>Authors:</td><td>liu, sy; triantis, kp; sarangi, s</td></tr><tr><td>Title:</td><td>a framework for evaluating the dynamic impacts of a congestion pricing policy for a transportation socioeconomic system</td></tr><tr><td>Source:</td><td>transportation research part a-policy and practice, 44(8), 596-608</td></tr><tr><td>Year:</td><td>2010</td></tr></table>",http://dx.doi.org/10.1016/j.tra.2010.04.001,1853,"{price, congest, road}"
sathaye (2010),,161,0.8363,20,0.8363,2010,119,20,1,unintended environmental impacts of nighttime freight logistics activities,transportation research part a-policy and practice,"<table><tr><td>Authors:</td><td>sathaye, n; harley, r; madanat, s</td></tr><tr><td>Title:</td><td>unintended environmental impacts of nighttime freight logistics activities</td></tr><tr><td>Source:</td><td>transportation research part a-policy and practice, 44(8), 642-659</td></tr><tr><td>Year:</td><td>2010</td></tr></table>",http://dx.doi.org/10.1016/j.tra.2010.04.005,1854,"{polici, instrument, effect}"
atkinson-palombo (2010),,123,0.7944,19,0.7944,2010,89,19,2,"comparing the capitalisation benefits of light-rail transit and overlay zoning for single-family houses and condos by neighbourhood type in metropolitan phoenix, arizona",urban studies,"<table><tr><td>Authors:</td><td>atkinson-palombo, c</td></tr><tr><td>Title:</td><td>comparing the capitalisation benefits of light-rail transit and overlay zoning for single-family houses and condos by neighbourhood type in metropolitan phoenix, arizona</td></tr><tr><td>Source:</td><td>urban studies, 47(11), 2409-2426</td></tr><tr><td>Year:</td><td>2010</td></tr></table>",http://dx.doi.org/10.1177/0042098009357963,1855,"{transit, rail, station}"
purcell (2010),,77,0.5854,14,0.5854,2010,39,14,6,"attitudes and behaviour towards waste management in the dublin, ireland region",waste management,"<table><tr><td>Authors:</td><td>purcell, m; magette, wl</td></tr><tr><td>Title:</td><td>attitudes and behaviour towards waste management in the dublin, ireland region</td></tr><tr><td>Source:</td><td>waste management, 30(10), 1997-2006</td></tr><tr><td>Year:</td><td>2010</td></tr></table>",http://dx.doi.org/10.1016/j.wasman.2010.02.021,1856,"{wast, manag, solid}"
neckerman (2010),,57,1.2962,31,1.2962,2010,28,31,5,disparities in the food environments of new york city public schools,american journal of preventive medicine,"<table><tr><td>Authors:</td><td>neckerman, km; bader, mdm; richards, ca; purciel, m; quinn, jw; thomas, js; warbelow, c; weiss, cc; lovasi, gs; rundle, a</td></tr><tr><td>Title:</td><td>disparities in the food environments of new york city public schools</td></tr><tr><td>Source:</td><td>american journal of preventive medicine, 39(3), 195-202</td></tr><tr><td>Year:</td><td>2010</td></tr></table>",http://dx.doi.org/10.1016/j.amepre.2010.05.004,1858,"{activ, school, health}"
keirstead (2010),,78,1.2544,30,1.2544,2010,68,30,3,london and beyond: taking a closer look at urban energy policy,energy policy,"<table><tr><td>Authors:</td><td>keirstead, j; schulz, nb</td></tr><tr><td>Title:</td><td>london and beyond: taking a closer look at urban energy policy</td></tr><tr><td>Source:</td><td>energy policy, 38(9), 4870-4879</td></tr><tr><td>Year:</td><td>2010</td></tr></table>",http://dx.doi.org/10.1016/j.enpol.2009.07.025,1864,
hankey (2010),,210,1.3798,33,1.3798,2010,144,33,2,impacts of urban form on future us passenger-vehicle greenhouse gas emissions,energy policy,"<table><tr><td>Authors:</td><td>hankey, s; marshall, jd</td></tr><tr><td>Title:</td><td>impacts of urban form on future us passenger-vehicle greenhouse gas emissions</td></tr><tr><td>Source:</td><td>energy policy, 38(9), 4880-4887</td></tr><tr><td>Year:</td><td>2010</td></tr></table>",http://dx.doi.org/10.1016/j.enpol.2009.07.005,1865,
lin (2010),,98,2.2161,53,2.2161,2010,75,53,3,"evaluating the effectiveness of urban energy conservation and ghg mitigation measures: the case of xiamen city, china",energy policy,"<table><tr><td>Authors:</td><td>lin, jy; cao, b; cui, sh; wang, w; bai, xm</td></tr><tr><td>Title:</td><td>evaluating the effectiveness of urban energy conservation and ghg mitigation measures: the case of xiamen city, china</td></tr><tr><td>Source:</td><td>energy policy, 38(9), 5123-5132</td></tr><tr><td>Year:</td><td>2010</td></tr></table>",http://dx.doi.org/10.1016/j.enpol.2010.04.042,1866,"{energi, build, consumpt}"
tsai (2010),,34,0.8781,21,0.8781,2010,25,21,6,analysis of the sustainability of reusing industrial wastes as energy source in he industrial sector of taiwan,journal of cleaner production,"<table><tr><td>Authors:</td><td>tsai, wt</td></tr><tr><td>Title:</td><td>analysis of the sustainability of reusing industrial wastes as energy source in he industrial sector of taiwan</td></tr><tr><td>Source:</td><td>journal of cleaner production, 18(14), 1440-1445</td></tr><tr><td>Year:</td><td>2010</td></tr></table>",http://dx.doi.org/10.1016/j.jclepro.2010.05.004,1874,"{wast, manag, solid}"
harsman (2010),,231,1.6307,39,1.6307,2010,145,39,7,political and public acceptability of congestion pricing: ideology and self-interest,journal of policy analysis and management,"<table><tr><td>Authors:</td><td>harsman, b; quigley, jm</td></tr><tr><td>Title:</td><td>political and public acceptability of congestion pricing: ideology and self-interest</td></tr><tr><td>Source:</td><td>journal of policy analysis and management, 29(4), 854-u221</td></tr><tr><td>Year:</td><td>2010</td></tr></table>",http://dx.doi.org/10.1002/pam.20529,1876,"{price, congest, road}"
basso (2010),,56,0.4181,10,0.4181,2010,39,10,8,the case for subsidisation of urban public transport and the mohring effect,journal of transport economics and policy,"<table><tr><td>Authors:</td><td>basso, lj; jara-diaz, sr</td></tr><tr><td>Title:</td><td>the case for subsidisation of urban public transport and the mohring effect</td></tr><tr><td>Source:</td><td>journal of transport economics and policy, 44, 365-372</td></tr><tr><td>Year:</td><td>2010</td></tr></table>",,1877,
savage (2010),,116,0.4599,11,0.4599,2010,69,11,8,a comment on 'subsidisation of urban public transport and the mohring effect',journal of transport economics and policy,"<table><tr><td>Authors:</td><td>savage, i; small, ka</td></tr><tr><td>Title:</td><td>a comment on 'subsidisation of urban public transport and the mohring effect'</td></tr><tr><td>Source:</td><td>journal of transport economics and policy, 44, 373-380</td></tr><tr><td>Year:</td><td>2010</td></tr></table>",,1878,
parry (2010),,248,0.6272,15,0.6272,2010,160,15,8,how should passenger travel in mexico city be priced?,journal of urban economics,"<table><tr><td>Authors:</td><td>parry, iwh; timilsina, gr</td></tr><tr><td>Title:</td><td>how should passenger travel in mexico city be priced?</td></tr><tr><td>Source:</td><td>journal of urban economics, 68(2), 167-182</td></tr><tr><td>Year:</td><td>2010</td></tr></table>",http://dx.doi.org/10.1016/j.jue.2010.03.009,1880,"{toll, lane, link}"
bohm (2010),,220,1.6307,39,1.6307,2010,72,39,6,the costs of municipal waste and recycling programs,resources conservation and recycling,"<table><tr><td>Authors:</td><td>bohm, ra; folz, dh; kinnaman, tc; podolsky, mj</td></tr><tr><td>Title:</td><td>the costs of municipal waste and recycling programs</td></tr><tr><td>Source:</td><td>resources conservation and recycling, 54(11), 864-871</td></tr><tr><td>Year:</td><td>2010</td></tr></table>",http://dx.doi.org/10.1016/j.resconrec.2010.01.005,1884,"{recycl, household, collect}"
bonsall (2010),,237,0.4599,11,0.4599,2010,134,11,7,is there a case for replacing parking charges by road user charges?,transport policy,"<table><tr><td>Authors:</td><td>bonsall, p; young, w</td></tr><tr><td>Title:</td><td>is there a case for replacing parking charges by road user charges?</td></tr><tr><td>Source:</td><td>transport policy, 17(5), 323-334</td></tr><tr><td>Year:</td><td>2010</td></tr></table>",http://dx.doi.org/10.1016/j.tranpol.2010.02.006,1886,"{park, space, price}"
kato (2010),,150,0.5854,14,0.5854,2010,111,14,7,comparative analysis of transit assignment: evidence from urban railway system in the tokyo metropolitan area,transportation,"<table><tr><td>Authors:</td><td>kato, h; kaneko, y; inoue, m</td></tr><tr><td>Title:</td><td>comparative analysis of transit assignment: evidence from urban railway system in the tokyo metropolitan area</td></tr><tr><td>Source:</td><td>transportation, 37(5), 775-799</td></tr><tr><td>Year:</td><td>2010</td></tr></table>",http://dx.doi.org/10.1007/s11116-010-9295-8,1888,"{model, network, optim}"
guo (2010),,305,1.1708,28,1.1708,2010,190,28,1,pareto-improving congestion pricing and revenue refunding with multiple user classes,transportation research part b-methodological,"<table><tr><td>Authors:</td><td>guo, xl; yang, h</td></tr><tr><td>Title:</td><td>pareto-improving congestion pricing and revenue refunding with multiple user classes</td></tr><tr><td>Source:</td><td>transportation research part b-methodological, 44(8-9), 972-982</td></tr><tr><td>Year:</td><td>2010</td></tr></table>",http://dx.doi.org/10.1016/j.trb.2009.12.009,1889,"{price, congest, road}"
clinch (2010),,155,0.2927,7,0.2927,2010,132,7,2,"designing development planning charges: settlement patterns, cost recovery and public facilities",urban studies,"<table><tr><td>Authors:</td><td>clinch, jp; o'neill, e</td></tr><tr><td>Title:</td><td>designing development planning charges: settlement patterns, cost recovery and public facilities</td></tr><tr><td>Source:</td><td>urban studies, 47(10), 2149-2171</td></tr><tr><td>Year:</td><td>2010</td></tr></table>",http://dx.doi.org/10.1177/0042098009357968,1890,"{vehicl, electr, charg}"
forsyth (2010),,57,0.5018,12,0.5018,2010,51,12,3,"panacea or paradox? cross-sector partnerships, climate change, and development",wiley interdisciplinary reviews-climate change,"<table><tr><td>Authors:</td><td>forsyth, t</td></tr><tr><td>Title:</td><td>panacea or paradox? cross-sector partnerships, climate change, and development</td></tr><tr><td>Source:</td><td>wiley interdisciplinary reviews-climate change, 1(5), 683-696</td></tr><tr><td>Year:</td><td>2010</td></tr></table>",http://dx.doi.org/10.1002/wcc.68,1891,
blengini (2010),,96,1.7143,41,1.7143,2010,44,41,4,energy-saving policies and low-energy residential buildings: an lca case study to support decision makers in piedmont (italy),international journal of life cycle assessment,"<table><tr><td>Authors:</td><td>blengini, ga; di carlo, t</td></tr><tr><td>Title:</td><td>energy-saving policies and low-energy residential buildings: an lca case study to support decision makers in piedmont (italy)</td></tr><tr><td>Source:</td><td>international journal of life cycle assessment, 15(7), 652-665</td></tr><tr><td>Year:</td><td>2010</td></tr></table>",http://dx.doi.org/10.1007/s11367-010-0190-5,1897,
boyles (2010),,222,0.7944,19,0.7944,2010,146,19,1,"congestion pricing under operational, supply-side uncertainty",transportation research part c-emerging technologies,"<table><tr><td>Authors:</td><td>boyles, sd; kockelman, km; waller, st</td></tr><tr><td>Title:</td><td>congestion pricing under operational, supply-side uncertainty</td></tr><tr><td>Source:</td><td>transportation research part c-emerging technologies, 18(4), 519-535</td></tr><tr><td>Year:</td><td>2010</td></tr></table>",http://dx.doi.org/10.1016/j.trc.2009.09.006,1902,"{toll, lane, link}"
hamdouch (2010),,112,0.2927,7,0.2927,2010,64,7,1,congestion pricing for schedule-based transit networks,transportation science,"<table><tr><td>Authors:</td><td>hamdouch, y; lawphongpanich, s</td></tr><tr><td>Title:</td><td>congestion pricing for schedule-based transit networks</td></tr><tr><td>Source:</td><td>transportation science, 44(3), 350-366</td></tr><tr><td>Year:</td><td>2010</td></tr></table>",http://dx.doi.org/10.1287/trsc.1090.0312,1903,"{model, network, optim}"
poudyal (2010),,48,0.669,16,0.669,2010,34,16,3,urban forests' potential to supply marketable carbon emission offsets: a survey of municipal governments in the united states,forest policy and economics,"<table><tr><td>Authors:</td><td>poudyal, nc; siry, jp; bowker, jm</td></tr><tr><td>Title:</td><td>urban forests' potential to supply marketable carbon emission offsets: a survey of municipal governments in the united states</td></tr><tr><td>Source:</td><td>forest policy and economics, 12(6), 432-438</td></tr><tr><td>Year:</td><td>2010</td></tr></table>",http://dx.doi.org/10.1016/j.forpol.2010.05.002,1911,
crawford (2010),,78,2.6342,63,2.6342,2010,53,63,5,the longitudinal influence of home and neighbourhood environments on children's body mass index and physical activity over 5 years: the clan study,international journal of obesity,"<table><tr><td>Authors:</td><td>crawford, d; cleland, v; timperio, a; salmon, j; andrianopoulos, n; roberts, r; giles-corti, b; baur, l; ball, k</td></tr><tr><td>Title:</td><td>the longitudinal influence of home and neighbourhood environments on children's body mass index and physical activity over 5 years: the clan study</td></tr><tr><td>Source:</td><td>international journal of obesity, 34(7), 1177-1187</td></tr><tr><td>Year:</td><td>2010</td></tr></table>",http://dx.doi.org/10.1038/ijo.2010.57,1914,"{activ, school, health}"
pooley (2010),,94,0.2509,6,0.2509,2010,76,6,5,landscapes without the car: a counterfactual historical geography of twentieth-century britain,journal of historical geography,"<table><tr><td>Authors:</td><td>pooley, cg</td></tr><tr><td>Title:</td><td>landscapes without the car: a counterfactual historical geography of twentieth-century britain</td></tr><tr><td>Source:</td><td>journal of historical geography, 36(3), 266-275</td></tr><tr><td>Year:</td><td>2010</td></tr></table>",http://dx.doi.org/10.1016/j.jhg.2009.12.007,1915,"{travel, mode, choic}"
gomez (2010),,123,1.2544,30,1.2544,2010,97,30,5,"characteristics of the built environment associated with leisure-time physical activity among adults in bogota, colombia: a multilevel study",journal of physical activity & health,"<table><tr><td>Authors:</td><td>gomez, lf; sarmiento, ol; parra, dc; schmid, tl; pratt, m; jacoby, e; neiman, a; cervero, r; mosquera, j; rutt, c; ardila, m; pinzon, jd</td></tr><tr><td>Title:</td><td>characteristics of the built environment associated with leisure-time physical activity among adults in bogota, colombia: a multilevel study</td></tr><tr><td>Source:</td><td>journal of physical activity & health, 7, s196-s203</td></tr><tr><td>Year:</td><td>2010</td></tr></table>",,1916,
bird (2010),,76,0.3763,9,0.3763,2010,52,9,5,factors affecting walking activity of older people from culturally diverse groups: an australian experience,journal of science and medicine in sport,"<table><tr><td>Authors:</td><td>bird, sr; radermacher, h; sims, j; feldman, s; browning, c; thomas, s</td></tr><tr><td>Title:</td><td>factors affecting walking activity of older people from culturally diverse groups: an australian experience</td></tr><tr><td>Source:</td><td>journal of science and medicine in sport, 13(4), 417-423</td></tr><tr><td>Year:</td><td>2010</td></tr></table>",http://dx.doi.org/10.1016/j.jsams.2009.07.002,1917,"{activ, school, health}"
curtis (2010),,227,2.1743,52,2.1743,2010,138,52,2,planning for sustainable accessibility: developing tools to aid discussion and decision-making,progress in planning,"<table><tr><td>Authors:</td><td>curtis, c; scheurer, j</td></tr><tr><td>Title:</td><td>planning for sustainable accessibility: developing tools to aid discussion and decision-making</td></tr><tr><td>Source:</td><td>progress in planning, 74, 53-106</td></tr><tr><td>Year:</td><td>2010</td></tr></table>",http://dx.doi.org/10.1016/j.progress.2010.05.001,1922,"{develop, sustain, plan}"
konishi (2010),,60,0.4599,11,0.4599,2010,48,11,1,carpooling and congestion pricing: hov and hot lanes,regional science and urban economics,"<table><tr><td>Authors:</td><td>konishi, h; mun, s</td></tr><tr><td>Title:</td><td>carpooling and congestion pricing: hov and hot lanes</td></tr><tr><td>Source:</td><td>regional science and urban economics, 40(4), 173-186</td></tr><tr><td>Year:</td><td>2010</td></tr></table>",http://dx.doi.org/10.1016/j.regsciurbeco.2010.03.009,1923,"{toll, lane, link}"
dahlen (2010),,155,0.8363,20,0.8363,2010,64,20,6,evaluation of recycling programmes in household waste collection systems,waste management & research,"<table><tr><td>Authors:</td><td>dahlen, l; lagerkvist, a</td></tr><tr><td>Title:</td><td>evaluation of recycling programmes in household waste collection systems</td></tr><tr><td>Source:</td><td>waste management & research, 28(7), 577-586</td></tr><tr><td>Year:</td><td>2010</td></tr></table>",http://dx.doi.org/10.1177/0734242x09341193,1926,
nair (2010),,51,2.5088,60,2.5088,2010,46,60,4,factors influencing energy efficiency investments in existing swedish residential buildings,energy policy,"<table><tr><td>Authors:</td><td>nair, g; gustavsson, l; mahapatra, k</td></tr><tr><td>Title:</td><td>factors influencing energy efficiency investments in existing swedish residential buildings</td></tr><tr><td>Source:</td><td>energy policy, 38(6), 2956-2963</td></tr><tr><td>Year:</td><td>2010</td></tr></table>",http://dx.doi.org/10.1016/j.enpol.2010.01.033,1929,"{energi, build, consumpt}"
krumdieck (2010),,48,0.7944,19,0.7944,2010,44,19,2,urban form and long-term fuel supply decline: a method to investigate the peak oil risks to essential activities,transportation research part a-policy and practice,"<table><tr><td>Authors:</td><td>krumdieck, s; page, s; dantas, a</td></tr><tr><td>Title:</td><td>urban form and long-term fuel supply decline: a method to investigate the peak oil risks to essential activities</td></tr><tr><td>Source:</td><td>transportation research part a-policy and practice, 44(5), 306-322</td></tr><tr><td>Year:</td><td>2010</td></tr></table>",http://dx.doi.org/10.1016/j.tra.2010.02.002,1947,"{travel, mode, choic}"
rotaris (2010),,416,2.1325,51,2.1325,2010,239,51,1,"the urban road pricing scheme to curb pollution in milan, italy: description, impacts and preliminary cost-benefit analysis assessment",transportation research part a-policy and practice,"<table><tr><td>Authors:</td><td>rotaris, l; danielis, r; marcucci, e; massiani, j</td></tr><tr><td>Title:</td><td>the urban road pricing scheme to curb pollution in milan, italy: description, impacts and preliminary cost-benefit analysis assessment</td></tr><tr><td>Source:</td><td>transportation research part a-policy and practice, 44(5), 359-375</td></tr><tr><td>Year:</td><td>2010</td></tr></table>",http://dx.doi.org/10.1016/j.tra.2010.03.008,1948,"{vehicl, electr, charg}"
zellner (2010),,71,0.2509,6,0.2509,2010,57,6,2,the problem with zoning: nonlinear effects of interactions between location preferences and externalities on land use and utility,environment and planning b-planning & design,"<table><tr><td>Authors:</td><td>zellner, ml; riolo, rl; rand, w; brown, dg; page, se; fernandez, le</td></tr><tr><td>Title:</td><td>the problem with zoning: nonlinear effects of interactions between location preferences and externalities on land use and utility</td></tr><tr><td>Source:</td><td>environment and planning b-planning & design, 37(3), 408-428</td></tr><tr><td>Year:</td><td>2010</td></tr></table>",http://dx.doi.org/10.1068/b35053,1961,"{urban, land, citi}"
al-khatib (2010),,34,2.007,48,2.007,2010,23,48,6,"solid waste characterization, quantification and management practices in developing countries. a case study: nablus district - palestine",journal of environmental management,"<table><tr><td>Authors:</td><td>al-khatib, ia; monou, m; abu zahra, asf; shaheen, hq; kassinos, d</td></tr><tr><td>Title:</td><td>solid waste characterization, quantification and management practices in developing countries. a case study: nablus district - palestine</td></tr><tr><td>Source:</td><td>journal of environmental management, 91(5), 1131-1138</td></tr><tr><td>Year:</td><td>2010</td></tr></table>",http://dx.doi.org/10.1016/j.jenvman.2010.01.003,1967,"{wast, manag, solid}"
bhatt (2010),,54,0.5436,13,0.5436,2010,48,13,4,integrated energy and environmental systems analysis methodology for achieving low carbon cities,journal of renewable and sustainable energy,"<table><tr><td>Authors:</td><td>bhatt, v; friley, p; lee, j</td></tr><tr><td>Title:</td><td>integrated energy and environmental systems analysis methodology for achieving low carbon cities</td></tr><tr><td>Source:</td><td>journal of renewable and sustainable energy, 2(3)</td></tr><tr><td>Year:</td><td>2010</td></tr></table>",http://dx.doi.org/10.1063/1.3456367,1968,
di giacomo (2010),,44,0.2091,5,0.2091,2010,23,5,8,the relevance of scale and scope economies in the provision of urban and intercity bus transport,journal of transport economics and policy,"<table><tr><td>Authors:</td><td>di giacomo, m; ottoz, e</td></tr><tr><td>Title:</td><td>the relevance of scale and scope economies in the provision of urban and intercity bus transport</td></tr><tr><td>Source:</td><td>journal of transport economics and policy, 44, 161-187</td></tr><tr><td>Year:</td><td>2010</td></tr></table>",,1970,
glaeser (2010),,56,6.3974,153,6.3974,2010,49,153,2,the greenness of cities: carbon dioxide emissions and urban development,journal of urban economics,"<table><tr><td>Authors:</td><td>glaeser, el; kahn, me</td></tr><tr><td>Title:</td><td>the greenness of cities: carbon dioxide emissions and urban development</td></tr><tr><td>Source:</td><td>journal of urban economics, 67(3), 404-418</td></tr><tr><td>Year:</td><td>2010</td></tr></table>",http://dx.doi.org/10.1016/j.jue.2009.11.006,1972,
wood (2010),,202,2.9269,70,2.9269,2010,115,70,5,sense of community and its relationship with walking and neighborhood design,social science & medicine,"<table><tr><td>Authors:</td><td>wood, l; frank, ld; giles-corti, b</td></tr><tr><td>Title:</td><td>sense of community and its relationship with walking and neighborhood design</td></tr><tr><td>Source:</td><td>social science & medicine, 70(9), 1381-1390</td></tr><tr><td>Year:</td><td>2010</td></tr></table>",http://dx.doi.org/10.1016/j.socscimed.2010.01.021,1976,"{activ, school, health}"
wang (2010),,117,1.0453,25,1.0453,2010,94,25,7,shaping urban transport policies in china: will copying foreign policies work?,transport policy,"<table><tr><td>Authors:</td><td>wang, r</td></tr><tr><td>Title:</td><td>shaping urban transport policies in china: will copying foreign policies work?</td></tr><tr><td>Source:</td><td>transport policy, 17(3), 147-152</td></tr><tr><td>Year:</td><td>2010</td></tr></table>",http://dx.doi.org/10.1016/j.tranpol.2010.01.001,1978,
djuric (2010),,43,0.3345,8,0.3345,2010,32,8,4,correlation between standards and the lifetime commissioning,energy and buildings,"<table><tr><td>Authors:</td><td>djuric, n; novakovic, v</td></tr><tr><td>Title:</td><td>correlation between standards and the lifetime commissioning</td></tr><tr><td>Source:</td><td>energy and buildings, 42(4), 510-521</td></tr><tr><td>Year:</td><td>2010</td></tr></table>",http://dx.doi.org/10.1016/j.enbuild.2009.10.020,1986,"{energi, build, consumpt}"
salon (2010),,122,0.8363,20,0.8363,2010,88,20,2,city carbon budgets: a proposal to align incentives for climate-friendly communities,energy policy,"<table><tr><td>Authors:</td><td>salon, d; sperling, d; meier, a; murphy, s; gorham, r; barrett, j</td></tr><tr><td>Title:</td><td>city carbon budgets: a proposal to align incentives for climate-friendly communities</td></tr><tr><td>Source:</td><td>energy policy, 38(4), 2032-2041</td></tr><tr><td>Year:</td><td>2010</td></tr></table>",http://dx.doi.org/10.1016/j.enpol.2009.12.005,1988,
pooley (2010),,80,0.7526,18,0.7526,2010,37,18,5,understanding the school journey: integrating data on travel and environment,environment and planning a,"<table><tr><td>Authors:</td><td>pooley, c; whyatt, d; walker, m; davies, g; coulton, p; bamford, w</td></tr><tr><td>Title:</td><td>understanding the school journey: integrating data on travel and environment</td></tr><tr><td>Source:</td><td>environment and planning a, 42(4), 948-965</td></tr><tr><td>Year:</td><td>2010</td></tr></table>",http://dx.doi.org/10.1068/a41405,1989,"{activ, school, health}"
bart (2010),,79,1.2962,31,1.2962,2010,76,31,2,"urban sprawl and climate change: a statistical exploration of cause and effect, with policy options for the eu",land use policy,"<table><tr><td>Authors:</td><td>bart, il</td></tr><tr><td>Title:</td><td>urban sprawl and climate change: a statistical exploration of cause and effect, with policy options for the eu</td></tr><tr><td>Source:</td><td>land use policy, 27(2), 283-292</td></tr><tr><td>Year:</td><td>2010</td></tr></table>",http://dx.doi.org/10.1016/j.landusepol.2009.03.003,1996,
roetzel (2010),,46,1.9652,47,1.9652,2010,37,47,4,a review of occupant control on natural ventilation,renewable & sustainable energy reviews,"<table><tr><td>Authors:</td><td>roetzel, a; tsangrassoulis, a; dietrich, u; busching, s</td></tr><tr><td>Title:</td><td>a review of occupant control on natural ventilation</td></tr><tr><td>Source:</td><td>renewable & sustainable energy reviews, 14(3), 1001-1013</td></tr><tr><td>Year:</td><td>2010</td></tr></table>",http://dx.doi.org/10.1016/j.rser.2009.11.005,1998,
yang (2004),,206,1.9522,56,1.9522,2004,113,56,1,trial-and-error implementation of marginal-cost pricing on networks in the absence of demand functions,transportation research part b-methodological,"<table><tr><td>Authors:</td><td>yang, h; meng, q; lee, dh</td></tr><tr><td>Title:</td><td>trial-and-error implementation of marginal-cost pricing on networks in the absence of demand functions</td></tr><tr><td>Source:</td><td>transportation research part b-methodological, 38(6), 477-493</td></tr><tr><td>Year:</td><td>2004</td></tr></table>",http://dx.doi.org/10.1016/s0191-2615(03)00077-8,2008,
zhang (2004),,334,2.9631,85,2.9631,2004,159,85,1,the optimal cordon-based network congestion pricing problem,transportation research part b-methodological,"<table><tr><td>Authors:</td><td>zhang, xn; yang, h</td></tr><tr><td>Title:</td><td>the optimal cordon-based network congestion pricing problem</td></tr><tr><td>Source:</td><td>transportation research part b-methodological, 38(6), 517-537</td></tr><tr><td>Year:</td><td>2004</td></tr></table>",http://dx.doi.org/10.1016/j.trb.2003.08.001,2009,"{toll, lane, link}"
feitelson (2004),,72,0.5578,16,0.5578,2004,59,16,7,the case for taxing surface parking,transportation research part d-transport and environment,"<table><tr><td>Authors:</td><td>feitelson, e; rotem, o</td></tr><tr><td>Title:</td><td>the case for taxing surface parking</td></tr><tr><td>Source:</td><td>transportation research part d-transport and environment, 9(4), 319-333</td></tr><tr><td>Year:</td><td>2004</td></tr></table>",http://dx.doi.org/10.1016/j.trd.2004.04.002,2012,"{park, space, price}"
betsill (2004),,132,5.8913,169,5.8913,2004,69,169,3,transnational networks and global environmental governance: the cities for climate protection program,international studies quarterly,"<table><tr><td>Authors:</td><td>betsill, mm; bulkeley, h</td></tr><tr><td>Title:</td><td>transnational networks and global environmental governance: the cities for climate protection program</td></tr><tr><td>Source:</td><td>international studies quarterly, 48(2), 471-493</td></tr><tr><td>Year:</td><td>2004</td></tr></table>",http://dx.doi.org/10.1111/j.0020-8833.2004.00310.x,2018,
molina (2004),,69,10.1442,291,10.1442,2004,42,291,5,megacities and atmospheric pollution,journal of the air & waste management association,"<table><tr><td>Authors:</td><td>molina, mj; molina, lt</td></tr><tr><td>Title:</td><td>megacities and atmospheric pollution</td></tr><tr><td>Source:</td><td>journal of the air & waste management association, 54(6), 644-680</td></tr><tr><td>Year:</td><td>2004</td></tr></table>",,2020,
de palma (2004),,565,0.8715,25,0.8715,2004,240,25,1,congestion pricing with heterogeneous travelers: a general-equilibrium welfare analysis,networks & spatial economics,"<table><tr><td>Authors:</td><td>de palma, a; lindsey, r</td></tr><tr><td>Title:</td><td>congestion pricing with heterogeneous travelers: a general-equilibrium welfare analysis</td></tr><tr><td>Source:</td><td>networks & spatial economics, 4(2), 135-160</td></tr><tr><td>Year:</td><td>2004</td></tr></table>",,2021,
tonglet (2004),,162,4.7409,136,4.7409,2004,59,136,6,"using the theory of planned behaviour to investigate the determinants of recycling behaviour: a case study from brixworth, uk",resources conservation and recycling,"<table><tr><td>Authors:</td><td>tonglet, m; phillips, ps; read, ad</td></tr><tr><td>Title:</td><td>using the theory of planned behaviour to investigate the determinants of recycling behaviour: a case study from brixworth, uk</td></tr><tr><td>Source:</td><td>resources conservation and recycling, 41(3), 191-214</td></tr><tr><td>Year:</td><td>2004</td></tr></table>",http://dx.doi.org/10.1016/j.resconrec.2003.11.001,2023,"{recycl, household, collect}"
