,abstract,doc,number,topic,topic_size
109,"Domestic solar water heating systems are a cost effective and mature technology that enjoys increasing popularity around the world yet in many countries the penetration rates are still low. The recent growth in Lebanon's solar water heater market reflects tremendous efforts on the legislative, financial, and awareness level. This paper analyzes the developments in this market and highlights persisting barriers. Our scenario analysis presents a baseline scenario (BS) and two different renewable energy scenarios. RES-1 makes solar water heating systems mandatory for newly constructed dwellings while RES-2 requires also the use of solar water heating systems in already existing buildings. Results show that in the BS electricity consumption growth (for water heating purposes) reaches a record high of 2430 GWh in 2027 while this number is limited to 1550 GWh in the same year in RES-1. In RES-2 electricity consumption reaches only 1393 GWh in 2027. The penetration rate of domestic SWH systems in the BS, RES-1 and RES-2 reaches respectively 10%, 58% and 67% by 2027. Yearly savings in government subsidies reach 209 million USD in 2027 in case of RES-1 and 246 million USD in 2027 in RES-2. We also present avoided CO2 emissions in each scenario. Increasing electricity prices to cost recovery levels, a SWH capital cost subsidy of 18% in combination with a zero interest green loan can leave a consumer's electricity bill unchanged during the repayment period. Under subsidized electricity prices, a 70% capital cost subsidy would be necessary to achieve the same result. We recommend the implementation of legislation making the use of domestic solar water heating systems mandatory for both existing and newly constructed dwellings, the further development of subsidization programs and increasing electricity prices to cost recovery levels. Concomitantly these measures will foster economic development in a sustainable manner. (C) 2012 International Energy Initiative. Published by Elsevier Inc. All rights reserved.",WOS:000313936000007,2027,"{water, heat, suppli}",145
110,"The building sector in Greece presents a huge energy saving potential, the largest part of which is remaining unexploited. The recently enacted legislation for the energy performance of buildings, in combination with the financial support provided by funding programmes to low income families is expected to significantly boost the deployment of energy efficient technologies in the Greek domestic sector. The exploitation of these legal and financial instruments follows a formalised process of energy audits, resulting in buildings classification and in the submission of Energy Performance Certificates (EPCs) including suggestions to improve the dwellings' energy performance. The paper aims at an exante evaluation of the market trends revealed by EPCs in Greece, in order to identify the perspectives of individual technologies and to assess the degree to which the certification procedure helps in improving the energy performance of buildings. The results indicate a strong trend towards less cost-effective technologies, revealing a sub-optimal allocation of financial resources and putting into risk the path towards the achievement of EU targets for 2020. (C) 2013 Elsevier Ltd. All rights reserved.",WOS:000332815300007,2020,"{energi, build, consumpt}",779
111,"In Europe, energy and climate policies started to take shape from the 1990s onwards culminating with the ambitious 20-20-20 climate goals and the Low-Carbon Europe roadmap 2050. The European Commission empower the importance of achieving the objective of the recast Directive on energy performance of buildings (EPBD) that new buildings built from 2021 onwards will have to be nearly zero-energy buildings. The general belief is that the energy performance optimization of buildings requires an integrated design approach and cross-disciplinary teamwork to optimize the building's energy use and quality of indoor environment while satisfying the occupants' needs.In this context, there is a substantial need for professionals such as architects and engineers specifically trained and educated in integrated design approach and trained to work in cross-disciplinary teams. To be able to push forward the development, it is essential that educational institutions foster professionals with such knowledge, skills and competences. An initiative toward this direction is the EU-project of IDES-EDU: ""Master and Post-Graduate education and training in multi-disciplinary teams"".The paper describes the necessity of more integrated and cross-disciplinary approaches to building design through state-of-the-art of the building sector and educational initiatives in the participating countries in the project, and through theory of design processes. The paper also communicates the results of newly developed cross-disciplinary education established by fifteen different educational institutions in Europe. Finally, the paper explains and discusses the challenges encountered during development and implementation of the education across different professions and countries. (C) 2013 Elsevier Ltd. All rights reserved.",WOS:000331019600001,2050,"{energi, build, consumpt}",779
112,"As government and industry plan to reduce energy consumption in building stock, there is a need to forecast the uptake of retrofit packages across building stock over time. To address this challenge a diffusion model was set up and applied to office building stock across New South Wales (NSW) in Australia, accommodating a high spatial resolution and temporal capability for projecting uptake of technology packages characterised by multiple variables. Six retrofit packages were set up for the diffusion model, which ranged from inexpensive services and manuals through to mid-priced packages involving energy efficient T5 lighting and solar hot water through to expensive packages such as chilled beams and Solar PV. We evaluated the model using a base case and two policy programs, representing the Green Building Fund and Environmental Upgrade Agreements. These were recent incentive programs funded by the Australian government to accelerate the uptake of retrofit packages, by providing financial support to upfront expenditures and removing barriers to retrofit. By forecasting uptake of each retrofit package to 2032 under each program, we demonstrate how the model can be a valuable resource in tailoring expensive government programs and increasing their effectiveness. (C) 2013 Elsevier Ltd. All rights reserved.",WOS:000330813800049,2032,"{energi, build, consumpt}",779
113,"The Spanish economy faces two key issues. The first of these is the significant reliance on non-renewable energy, which reached 76.4% and was 22 points over the European Union average. Secondly, the threat that the fee deficit poses to the sustainability of the National Grid. This fact is forcing the Spanish Government to implement measures focused on tax increases. However, these decisions have done little to contain the situation. This paper proposes the use of sustainable transport models based on electric mobility: smart grids, buses, taxis and electric vehicles, in the city of Leon, Spain (135,059 inhabitants) as an important means for controlling and reducing the fee deficit. Through exhaustive analysis of EV (electric vehicle) market penetration against current Government forecasts, a rigorous profitability study has been conducted for the period 2020-2030 (when smart grids will be ready). By introducing policy modifications, the Net Actual Value internal rate of return and payback figures justify its implementation. Thus, the fee deficit of Leon could be reduced by up to 43%. Finally, an analysis of macroeconomic impacts, such as competitive improvements in the economy, and environmental impact is conducted. (C) 2013 Elsevier Ltd. All rights reserved.",WOS:000331669100031,2020,"{vehicl, electr, charg}",269
114,"A total of 1,000 kilns producing 3.5 billion bricks and consuming 0.85 million tons of coal per year resulted in an estimated 2,200 to 4,000 premature deaths and 0.2 to 0.5 million asthma attacks per year in the Greater Dhaka region. In this paper, the emission reductions and health cost savings are presented for moving to cleaner brick manufacturing technologies for the districts of Gazipur, Savar, Dhamrai, Rupganj, Manikganj, Kaliganj, and Narayanganj. A summary of various technologies and feasibility of these technologies based on lessons learnt from the pilots is discussed. We explored three ""what-if"" scenarios through 2020 for better energy efficiency, lower coal consumption, and lower emission rates, under which the total health cost savings are estimated to range between USD12 million annually for short-term implementation and up to 55 million annually for long-term implementation. Between 2015 and 2020, the cumulative health cost savings could range between USD126 and 234 million, which clearly outweigh any cost of capital investment necessary for the technology change. An improvement in energy efficiency will result in USD1.8 to 3.0 million per year in coal savings, which will accrue to the kiln owners collectively, and these savings will pay back the capital investment within 3-4 years, in addition to the health cost savings for the city inhabitants. Hence, the entrepreneurs have all the social, environmental, and economic incentives to adopt cleaner technologies. A major gap at the regulatory level is in building awareness for the entrepreneurs and setting up an incentive structure to implement this transition, which is being addressed by an advisory committee by the Government of Bangladesh responsible for the revision of the Brick Burning Act of 1989 and related legislations.",WOS:000332712300009,2020,"{emiss, carbon, ghg}",383
115,"Technological change has often been presented as a readily accepted means by which long-term greenhouse gas (GHG) emission reductions can be achieved. Cities are the future centers of economic growth, with the global population becoming predominantly urban; hence, increases or reductions of GHG emissions are tied to their energy strategies. This research examines the likelihood of a developed world city (the Greater Toronto Area) achieving an 80% reduction in GHG emissions through policy-enabled technological change.Emissions are examined from 3 major sources: light duty passenger vehicles, residential buildings and commercial/institutional buildings. Logistic diffusion curves are applied for the adoption of alternative vehicle technologies, building retrofits and high performance new building construction. This research devises high, low and business-as-usual estimates of future technological adoption and finds that even aggressive scenarios are not sufficient to achieve an 80% reduction in GHG emissions by 2050. This further highlights the challenges faced in maintaining a relatively stable climate. Urban policy makers must consider that the longer the lag before this transition occurs, the greater the share of GHG emissions mitigation that must addressed through behavioural change in order to meet the 2050 target, which likely poses greater political challenges. (C) 2013 Elsevier Ltd. All rights reserved.",WOS:000332135900062,2050,"{emiss, carbon, ghg}",383
116,"Estimations of biogas emissions in final disposal sites have been studied by several researchers, primarily for their potential as a renewable source of energy and greenhouse gas emissions mitigation. Different models have been developed to predict the generation of biogas; the first-order model is widely used. Most of these models are based on two parameters, the methane generation rate (k) and methane generation potential (L-0). These parameters cannot be generalized for biogas estimation in any site, and must be modified according to in situ characteristics. The objectives of this research are (a) modify the constants of k and L-0 with in situ data, and (b) estimate the biogas generation in a sanitary landfill of a Mexican city using the modified constants. The following data were used in modifying the model constants biogas: (a) waste characterization studies, (b) biogas extraction tests, (c) observations of characteristics and sanitary landfill operation, (d) interviews with the managers of the sanitary landfill, and (e) several parameters of the Intergovernmental Panel on Climate Change (IPCC) model. Biogas estimation using the modified constants was performed in the version 2.0 Mexico Landfill Gas Model proposed by Stearns, Conrad and Schmidt Consulting Engineers, Inc. (SCS Engineers). The results show that approximately 70% of the waste generated is organic, which influences the value of the parameters used in calculating the k and L-0. With in situ characteristics, values of k = 0.0482 yr(-1) and L-0 = 94,457 m(3)/t were obtained. It is projected that the electric power generation could reach a maximum capacity of 2.4 MW in 2019. This energy could increase the installed capacity in the Ensenada by approximately 4.36% and supply approximately 66% of the electric energy required for lighting, which amounts to savings of US$2.62 million and an environmental benefit of approximately 1.17 Mt CO(2)e from 2009 to 2025. (C) 2013 Elsevier Ltd. All rights reserved.",WOS:000331421800032,2019,"{model, network, optim}",435
117,"This study investigates the potential of energy efficiency, renewables, and micro-cogeneration to reduce household consumption in a medium Italian town and analyses the scope for municipal local policies. The study also investigates the effects of tourist flows on town's energy consumption by modelling energy scenarios for permanent and summer homes. Two long-term energy scenarios (to 2030) were modelled using the MarIcAL-TIMES generator model: BAU (business as usual), which is the reference scenario, and EHS (exemplary household sector), which involves targets of penetration for renewables and micro-cogeneration. The analysis demonstrated the critical role of end-use energy efficiency in curbing residential consumption. Cogeneration and renewables (PV (photovoltaic) and solar thermal panels) were proven to be valuable solutions to reduce the energetic and environmental burden of the household sector (-20% in 2030). Because most of household energy demand is ascribable to space-heating or hot water production, this study finds that micro-CHP technologies with lower power-to-heat ratios (mainly, Stirling engines and microturbines) show a higher diffusion, as do solar thermal devices. The spread of micro-cogeneration implies a global reduction of primary energy but involves the internalisation of the primary energy, and consequently CO2 emissions, previously consumed in a centralised power plant within the municipality boundaries. (C) 2014 Elsevier Ltd. All rights reserved.",WOS:000335874300010,2030,"{energi, build, consumpt}",779
118,"This study investigates the potential of energy efficiency, renewables, and micro-cogeneration to reduce household consumption in a medium Italian town and analyses the scope for municipal local policies. The study also investigates the effects of tourist flows on town's energy consumption by modelling energy scenarios for permanent and summer homes. Two long-term energy scenarios (to 2030) were modelled using the MarIcAL-TIMES generator model: BAU (business as usual), which is the reference scenario, and EHS (exemplary household sector), which involves targets of penetration for renewables and micro-cogeneration. The analysis demonstrated the critical role of end-use energy efficiency in curbing residential consumption. Cogeneration and renewables (PV (photovoltaic) and solar thermal panels) were proven to be valuable solutions to reduce the energetic and environmental burden of the household sector (-20% in 2030). Because most of household energy demand is ascribable to space-heating or hot water production, this study finds that micro-CHP technologies with lower power-to-heat ratios (mainly, Stirling engines and microturbines) show a higher diffusion, as do solar thermal devices. The spread of micro-cogeneration implies a global reduction of primary energy but involves the internalisation of the primary energy, and consequently CO2 emissions, previously consumed in a centralised power plant within the municipality boundaries. (C) 2014 Elsevier Ltd. All rights reserved.",WOS:000335874300010,2030,"{energi, build, consumpt}",779
119,"This paper presents the historical development and background of life cycle assessment (LCA) and nearly zero-energy buildings in Germany. In order to plan and build responsibly for the future, it is necessary to have an overview of the topic at hand. Final energy demand during the operational phase of buildings has fallen steadily. According to European Union guidelines (2010/31/EU), starting in 2021 new buildings must achieve the nearly zero-energy standards. These buildings will have very low operational energy demand. As a consequence of this requirement, the relative impact of construction and disposal increases in terms of the entire life cycle. This is also the case currently for buildings with low operational energy demand. The research - based on a literature analysis and review - shows that LCA has existed since the 1970s as a tool to judge potential environmental impacts. Moreover, the energy building standards in Germany have developed continuously since 1977. This process will continue in the new German Energy Saving Ordinance in 2014, which will be tightened even further in 2016. As LCA is well established and sustainable buildings are becoming increasingly common, the next indispensable step is to consider the life cycle view of nearly zero-energy buildings. (C) 2014 The Authors. Published by Elsevier B.V.",WOS:000336779000055,2021,"{energi, build, consumpt}",779
120,"Anaerobic digestion is a well known process that (while still capable of showing new features) has experienced several waves of technological development. It was ""born"" as a wastewater treatment system, in the 1970s showed promise as an alternative energy source (in particular from animal waste), in the 1980s and later it became a standard for treating organic-matter-rich industrial wastewater, and more recently returned to the market for its energy recovery potential, making use of different biomasses, including energy crops. With the growing concern around global warming, this paper looks at the potential of anaerobic digestion in terms of reduction of greenhouse gas (GHG) emissions.The potential contribution of anaerobic digestion to GHG reduction has been computed for the 27 EU countries on the basis of their 2005 Kyoto declarations and using life cycle data. The theoretical potential contribution of anaerobic digestion to Kyoto and EU post- Kyoto targets has been calculated. Two different possible biogas applications have been considered: electricity production from manure waste, and upgraded methane production for light goods vehicles (from landfill biogas and municipal and industrial wastewater treatment sludges). The useful heat that can be produced as by-product from biogas conversion into electricity has not been taken into consideration, as its real exploitation depends on local conditions. Moreover the amount of biogas already produced via dedicated anaerobic digestion processes has also not been included in the calculations. Therefore the overall gains achievable would be even higher than those reported here.This exercise shows that biogas may considerably contribute to GHG emission reductions in particular if used as a biofuel. Results also show that its use as a biofuel may allow for true negative GHG emissions, showing a net advantage with respect to other biofuels. Considering also energy crops that will become available in the next few years as a result of Common Agricultural Policy (CAP) reform, this study shows that biogas has the potential of covering almost 50% of the 2020 biofuel target of 10% of all automotive transport fuels, without implying a change in land use. Moreover, considering the achievable GHG reductions, a very large carbon emission trading ""value"" could support the investment needs.However, those results were obtained through a ""qualitative"" assessment. In order to produce robust data for decision makers, a quantitative sustainability assessment should be carried out, integrating different methodologies within a life cycle framework. The identification of the most appropriate policy for promoting the best set of options is then discussed.",WOS:000256799000001,2020,"{treatment, wastewat, plant}",270
121,"This paper presents passenger road transport scenarios that may assist the MCMA (Mexico City Metropolitan Area) in achieving lower emissions in both criteria air pollutants (CO, NOx, NMVOC (non-methane volatile organic compounds), and PM10) and GHG (greenhouse gas) (CH4, N2O and CO2), while also promoting better mobility and quality of life in this region. We developed a bottom-up model to estimate the historical trends of energy demand, criteria air pollutants and GHG emissions caused by passenger vehicles circulating in the Mexico City Metropolitan Area (MCMA) in order to construct a baseline scenario and two mitigation scenarios that project their impact to 2028. Mitigation scenario ""eff"" considers increasing fuel efficiencies and introducing new technologies for vehicle emission controls. Mitigation scenario ""BRT"" considers a modal shift from private car trips to a Bus Rapid Transport system. Our results show significant reductions in air pollutants and GHG emissions. Incentives and environmental regulations are needed to enable these scenarios. (C) 2013 Elsevier Ltd. All rights reserved.",WOS:000334262000064,2028,"{emiss, carbon, ghg}",383
122,"The Landfill Allowance Trading Scheme (LATS) is one of the main instruments used in England to enforce the landfill diversion targets established in the Directive 1999/31/EC of the European Parliament and of the Council of 26 April 1999 on the landfill of waste (Landfill Directive). Through the LATS, biodegradable municipal waste (BMW) allowances for landfilling are allocated to each local authority, otherwise known as waste disposal authorities (WDAs). The quantity of landfill allowances received is expected to decrease continuously from 2005/06 to 2019/20 so as to meet the objectives of the Landfill Directive. To achieve their commitments, WDAs can exchange, buy, sell or transfer allowances among each other, or may reprofile their own allocation through banking and/or borrowing. Despite the goals for the first seven years - which included two target years (2005/06 and 2009/10) - being widely achieved (the average allocation of allowances per WDA was 22.9% higher than those finally used), market activity among WDAs was high and prices were not very stable. Results in terms of waste reduction and recycling levels have been satisfactory. The reduction of BMW landfilled (in percentage) was higher during the first seven years of the LATS period (2005/06-2011/12) (around 7% annually) than during the previous period (2001/02-2004/05) (4.2% annually). Since 2008, the significance of the LATS diminished because of an increase in the rate of the UK Landfill Tax. The LATS was suppressed after the 2012/13 target year, before what it was initially scheduled. The purpose of this paper is to describe the particularities of the LATS, analyse its performance as a waste management policy, make a comparison with the Landfill Tax, discuss its main features as regards efficiency, effectiveness and the application of the ""polluter pays"" principle and finally discuss if the effect of the increase in the Landfill Tax is what made the LATS ultimately unnecessary. (C) 2014 Elsevier Ltd. All rights reserved.",WOS:000335290100010,2019,"{wast, manag, solid}",517
123,"Europe has a significant target ahead to fulfill: to achieve the goal of nearly zero energy buildings from the year 2021. This paper presents viable scenarios to achieve the achievement of nearly zero energy dwellings in the southern European country of Cyprus. The analysis is based on the documentation of the developments in the building sector after the adoption of mandatory building insulation regulations. For this purpose, data concerning the building stock of Cyprus before the adoption of the regulation of thermal insulation, as well as the construction characteristics for sixty dwellings which were built from 2010 to 2012 are compared. The ability of adoption of renewable energy in the building sector is also analyzed. Several scenarios are examined and a matrix defining the possible ranges of primary consumption of dwellings in Cyprus considered as nearly zero energy are presented. Possible scenarios examined in relation to consumption of dwellings in Cyprus by 2020 showed that this would range from 65 to 40 kWh/m(2) year, depending on the degree of renewable energy technologies penetration. The outcomes of this work are particularly revealing with regard to the definition of feasible consumption targets for nearly zero energy dwellings in southern Europe by 2020. (C) 2014 Elsevier Ltd. All rights reserved.",WOS:000334262000061,2021,"{energi, build, consumpt}",779
124,"Europe has a significant target ahead to fulfill: to achieve the goal of nearly zero energy buildings from the year 2021. This paper presents viable scenarios to achieve the achievement of nearly zero energy dwellings in the southern European country of Cyprus. The analysis is based on the documentation of the developments in the building sector after the adoption of mandatory building insulation regulations. For this purpose, data concerning the building stock of Cyprus before the adoption of the regulation of thermal insulation, as well as the construction characteristics for sixty dwellings which were built from 2010 to 2012 are compared. The ability of adoption of renewable energy in the building sector is also analyzed. Several scenarios are examined and a matrix defining the possible ranges of primary consumption of dwellings in Cyprus considered as nearly zero energy are presented. Possible scenarios examined in relation to consumption of dwellings in Cyprus by 2020 showed that this would range from 65 to 40 kWh/m(2) year, depending on the degree of renewable energy technologies penetration. The outcomes of this work are particularly revealing with regard to the definition of feasible consumption targets for nearly zero energy dwellings in southern Europe by 2020. (C) 2014 Elsevier Ltd. All rights reserved.",WOS:000334262000061,2020,"{energi, build, consumpt}",779
125,"This research develops then merges two separate models to simulate electric vehicle diffusion through recreation of the Boston metropolitan statistical area vehicle market place. The first model is a mixed (random parameters) logistic regression applied to data from the US Department of Transportation's 2009 National Household Travel Survey. The second, agent-based model simulates social network interactions through which agents' vehicle choice sets are endogenously determined. Parameters from the first model are applied to the choice sets determined in the second. Results indicate that electric vehicles as a percentages of vehicle stock range from 1% to 22% in the Boston metropolitan statistical area in the year 2030, percentages being highly dependent on scenario specifications. A lower price is the main source of competitive advantage for vehicles but other characteristics, such as vehicle classification and range, are demonstrated to influence consumer choice. Government financial incentive availability leads to greater market shares in the beginning years and helps to spread diffusion in later years due to an increased base of initial adopters. Although seen as a potential hindrance to EV diffusion, battery cost scenarios have relatively small impacts on EV diffusion in comparison to policy, range, miles per gallon (MPG), and vehicle miles travelled (VMT) as a percentage of range assumptions. Pessimistic range assumptions decrease overall PHEV and BEV percentages of vehicle stock by 50% and 30%, respectively, relative to the EPA-estimated range scenarios. Fuel cost scenarios do not considerably alter estimated BEV and PHEV stock but increase the ratio of car stock to light truck stock in the internal combustion engine (ICE) vehicle spectrum. Specifically, cars are estimated at 55% of ICE vehicle stock in the default fuel price scenario but increase to 62% of ICE vehicle stock in the high world oil price scenario, with LTs covering the appropriate differences.",WOS:000318544900005,2030,"{vehicl, electr, charg}",269
126,"Although China became the world's largest CO2 emitter in 2007, the country has also taken serious actions to reduce its energy and carbon intensity. This study uses the bottom-up LBNL China End-Use Energy Model to assess the role of energy efficiency policies in transitioning China to a lower emission trajectory and meeting its 2020 intensity reduction goals. Two scenarios - Continued Improvement and Accelerated Improvement - were developed to assess the impact of actions already taken by the Chinese government as well as planned and potential actions, and to evaluate the potential for China to reduce energy demand and emissions. This scenario analysis presents an important modeling approach based in the diffusion of end-use technologies and physical drivers of energy demand and thereby help illuminate China's complex and dynamic drivers of energy consumption and implications of energy efficiency policies. The findings suggest that China's CO2 emissions will not likely continue growing throughout this century because of saturation effects in appliances, residential and commercial floor area, roadways, fertilizer use; and population peak around 2030 with slowing urban population growth. The scenarios also underscore the significant role that policy-driven efficiency improvements will play in meeting 2020 carbon mitigation goals along with a decarbonized power supply. Published by Elsevier Ltd.",WOS:000314192800005,2030,"{emiss, carbon, ghg}",383
127,"This paper aims to investigate the effects of retrofitting existing public buildings in the ""Hot Summer Cold Winter"" climate region of China, using simulation and a case study, to see how retrofitted public buildings perform in the face of climate change in the region. This area of China is one of the most challenging regions for providing occupant comfort in buildings, with high demands for heating as well as cooling, together with high humidity levels. The simulation results suggest that energy reduction of up to 40% with improvements to the building enclosure is possible by retrofitting current existing public buildings to the new Chinese National Standard for the Zhejiang Province.Requirements for combating possible increase in energy consumption from heating and cooling demands due to future climate change was also investigated, and it was found that by simply improving U-Values of the building envelope to the new national standards set for the Zhejiang Province, the effects of future climate change can be nullified up to the 2080s. Further improvements to having similar standards as developed countries such as England and Wales will have less significance and cannot nullify the effects of climate change from the newly retrofitted public buildings. However, this can be achieved by involving other energy-saving strategies and installing suitable energy-saving technologies for the region. Crown Copyright (c) 2012 Published by Elsevier B.V. All rights reserved.",WOS:000314735500020,2080,"{climat, chang, mitig}",176
128,"Transportation is a major user of carbon-based fuels and is increasingly being highlighted as the sector that contributes the least to carbon dioxide (CO(2)) emission reduction targets. This paper reports on the findings of the current Visioning and Backcasting for Transport in London study, which considers the role of the transportation sector in reducing CO(2) emissions in London. A backcasting study approach was used, and the likely impacts of alternative images of 2025 were tested. A transportation and carbon simulation game was also developed for London. Within this game, users are able to consider a series of potential policy packages, such as low-emission vehicles, alternative fuels, pricing regimens, public transportation, walking and cycling, strategic and local urban planning, information and communication technologies, smarter choices, ecological driving and slower speeds, long-distance travel substitution, freight transportation, and international air, and select various levels of application to help achieve headline CO(2) emissions reduction targets. The roles of two external enabling measures, carbon rationing and oil pricing, were also considered. The paper considers an optimized policy package for 2025. A deep reduction in CO(2) emissions from the transportation sector is theoretically possible, yet difficult to achieve. The main perceived problem is in engendering an interest in the public to change consumer purchases and behaviors. The huge challenge now is to map out and discuss a variety of policy pathways to carbon efficiency in the transportation sector and then to enable and achieve a level of consumer and behavioral change consistent with strategic aspiration.",WOS:000273769300021,2025,"{emiss, carbon, ghg}",383
129,"Transportation is a major user of carbon-based fuels and is increasingly being highlighted as the sector that contributes the least to carbon dioxide (CO(2)) emission reduction targets. This paper reports on the findings of the current Visioning and Backcasting for Transport in London study, which considers the role of the transportation sector in reducing CO(2) emissions in London. A backcasting study approach was used, and the likely impacts of alternative images of 2025 were tested. A transportation and carbon simulation game was also developed for London. Within this game, users are able to consider a series of potential policy packages, such as low-emission vehicles, alternative fuels, pricing regimens, public transportation, walking and cycling, strategic and local urban planning, information and communication technologies, smarter choices, ecological driving and slower speeds, long-distance travel substitution, freight transportation, and international air, and select various levels of application to help achieve headline CO(2) emissions reduction targets. The roles of two external enabling measures, carbon rationing and oil pricing, were also considered. The paper considers an optimized policy package for 2025. A deep reduction in CO(2) emissions from the transportation sector is theoretically possible, yet difficult to achieve. The main perceived problem is in engendering an interest in the public to change consumer purchases and behaviors. The huge challenge now is to map out and discuss a variety of policy pathways to carbon efficiency in the transportation sector and then to enable and achieve a level of consumer and behavioral change consistent with strategic aspiration.",WOS:000273769300021,2025,"{emiss, carbon, ghg}",383
130,"With the rapid growth occurring in the urban regions of China, it is critical to address issues of sustainability through practices that engender holistic energy efficient solutions. In this paper, we present results from a collaborative design project carried out with planning officials from the city of Jinan (population 3.4 million), for the Luokou district, a 3.1 km(2) (1.2 mi(2)) area to the north of the CBD that is expected to house 100,000-130,000 people by 2020. By integrating sustainable building design, land use, urban design, and transportation, our proposal identified opportunities for improving energy efficiency that might have been overlooked by considering buildings and transportation separately. Mixed land uses and walkable neighborhoods were proposed along with highly differentiated street designs, intended to carry different traffic loads and prioritize diverse travel modes. Street widths and building heights were adjusted to maximize the potential for passive solar heating and daylight use within buildings. The district's environmental performance, analyzed using building energy evaluation and traffic micro simulation models, showed that the design would reduce energy loads by over 25% compared to business as usual. While the proposal complied with national and local policies, and had far better energy performance than conventional designs, the proposal ultimately was not accepted by local officials because initial costs to the developers were higher than for conventional designs.",WOS:000315395400006,2020,"{energi, build, consumpt}",779
131,"There are compelling reasons for policy makers to be interested in the low-carbon agenda. More than half of the world's population lives in, and more than half of the world's economic output comes from, cities. Up to 70% of global carbon emissions can also be attributed to consumption that takes place in cities. Recent research has shown that cost-effective investments in low-carbon options could deliver a 40% reduction in GHG emissions from cities by 2020, while also providing wider economic benefits such as enhanced competitiveness and increased employment. As yet, however, investments in low-carbon cities have not been made at scale due mainly to the scale of the finance required, local government budgetary constraints, and perceptions about their costs and benefits. With a focus on the UK, a contemporary account is provided of what local authorities see as the major financial risks associated with funding low-carbon cities. Practical proposals - which also have more general relevance to the future financing of low-carbon cities around the world - are offered on how local authorities, in conjunction with central government, the private sector, and institutional investors, can effectively manage these risks.Policy relevanceCities house more than half of the world's population, generate more than half of the world's economic output, and produce between 40% and 70% of all anthropogenic GHG emissions. In the UK, 70% of such emissions are under the influence of its local authorities. Thus, one of the key public policy challenges for the low-carbon transition is how it should be financed. There are several obstacles and related risks to this transition, including financial and legal obstacles and the differing views and perceptions of stakeholders. These can be attenuated, somewhat, by national government support at scale, local authority leadership, and cooperation between other authorities and the private sector, and the development of tools and guidance to reduce transaction costs.",WOS:000320752000006,2020,"{develop, sustain, plan}",898
132,"Residential buildings account for about one-third of the final energy demand in Norway. Many cost-effective measures for reducing heat losses in buildings are known, and their implementation may make the building sector one of the largest contributors to climate change mitigation. To determine the sectoral emission reduction potential, we model a complete transformation of the dwelling stock by 2050 by applying both renovation and reconstruction with different energy standards. We propose a new dynamic stock model with an optimization routine to identify and prioritize buildings with the highest energy saving potential. We combine material flow analysis (MFA) and life cycle assessment (LCA) techniques to extend the sectoral boundary beyond direct household emissions. Despite an expected population growth of almost 50% between 2000 and 2050, sectoral carbon emissions in that period may drop between 30% and 40% for scenarios where the stock is completely transformed by either reconstruction or renovation to the passive house standard. Due to its lower upstream impact, renovation leads to a lower sectoral carbon footprint than reconstruction. Full transformation, however, is not sufficient to achieve an emissions reduction of 50% or more, as required on average to limit global warming to 2 degrees Celsius, because hot water generation, appliances, and lighting will dominate the sectoral footprint once the stock has been transformed. A first estimate of the additional impact of realistic energy efficiency and lifestyle changes in the nonheating part of the sector reveals a maximal total reduction potential of about 75%.",WOS:000322719300007,2050,"{emiss, carbon, ghg}",383
133,"Transport is one of the most challenge sectors when addressing energy security and climate change due to its high reliance on oil products and lack of the alternative fuels. This paper explores the ability of three transport strategies to contribute to the development of a sustainable transport in China. With this purpose in mind, a Chinese transport model has been created and three current transport strategies which are high speed railway (HSR), urban rail transit (URT) and electric vehicle (EV) were evaluated together with a reference transport system in 2020. As conservative results, 13% of the energy saving and 12% of the CO2 emission reduction can be attained by accomplishing three strategies compared with the reference transport system. However, the energy demand of transport in 2020 with the implementation of three strategies will be about 1.7 times as much as today. The three strategies show the potential of drawing the transport demand to the more energy efficient vehicles; however, more initiatives are needed if the sustainable transport is the long term objective, such as the solutions to stabilise the private vehicle demands, to continuously improve the vehicle efficiency and to boost the alternative fuels produced from the renewable energy sources. (c) 2013 Elsevier Ltd. All rights reserved.",WOS:000319177800036,2020,"{transport, public, access}",295
134,"Transport is one of the most challenge sectors when addressing energy security and climate change due to its high reliance on oil products and lack of the alternative fuels. This paper explores the ability of three transport strategies to contribute to the development of a sustainable transport in China. With this purpose in mind, a Chinese transport model has been created and three current transport strategies which are high speed railway (HSR), urban rail transit (URT) and electric vehicle (EV) were evaluated together with a reference transport system in 2020. As conservative results, 13% of the energy saving and 12% of the CO2 emission reduction can be attained by accomplishing three strategies compared with the reference transport system. However, the energy demand of transport in 2020 with the implementation of three strategies will be about 1.7 times as much as today. The three strategies show the potential of drawing the transport demand to the more energy efficient vehicles; however, more initiatives are needed if the sustainable transport is the long term objective, such as the solutions to stabilise the private vehicle demands, to continuously improve the vehicle efficiency and to boost the alternative fuels produced from the renewable energy sources. (c) 2013 Elsevier Ltd. All rights reserved.",WOS:000319177800036,2020,"{transport, public, access}",295
