author,year,source,title,doi,main topics,smaller topics
"GARDNER, G",1992,PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-TRANSPORT,A STUDY OF HIGH-CAPACITY BUSWAYS IN DEVELOPING CITIES,,"{develop, sustain, plan}; {bus, servic, oper}; {transit, rail, station}; {model, network, optim}","{transport, public, access}; {price, congest, road}"
"Al-Deek, H, Moradi, M",2015,INTERNATIONAL JOURNAL OF SUSTAINABLE TRANSPORTATION,Mileage-Based User Fee: A Financial Evaluation Case Study for the State of Florida,10.1080/15568318.2012.753493,"{price, congest, road}; {travel, mode, choic}","{transport, public, access}; {develop, sustain, plan}"
"Zhou, N, He, G, Williams, C, Fridley, D",2015,ECOLOGICAL INDICATORS,ELITE cities: A low-carbon eco-city evaluation tool for China,10.1016/j.ecolind.2014.09.018,"{develop, sustain, plan}; {emiss, carbon, ghg}","{urban, land, citi}"
"NOWAK, DJ",1993,JOURNAL OF ENVIRONMENTAL MANAGEMENT,ATMOSPHERIC CARBON-REDUCTION BY URBAN TREES,10.1006/jema.1993.1017,,
"Xu, ZY, Sun, DW, Zeng, XA, Liu, D, Pu, HB",2015,CRITICAL REVIEWS IN FOOD SCIENCE AND NUTRITION,Research Developments in Methods to Reduce the Carbon Footprint of the Food System: A Review,10.1080/10408398.2013.821593,"{emiss, carbon, ghg}; {climat, chang, mitig}; {develop, sustain, plan}","{treatment, wastewat, plant}; {wast, manag, solid}"
"MONHEIM, R",1992,LANDSCAPE AND URBAN PLANNING,TOWN AND TRANSPORT PLANNING AND THE DEVELOPMENT OF RETAIL TRADE IN METROPOLITAN-AREAS OF WEST-GERMANY,10.1016/0169-2046(92)90017-T,"{transport, public, access}; {develop, sustain, plan}","{urban, land, citi}"
[Anonymous],1999,BIOCYCLE,Composting Council addresses heavy metal standards,,,
"Gadgil, A, Jannuzzi, GM, Silva, E, Leonardi, ML",1999,ENERGY POLICY,A cost-neutral energy strategy incorporating renewables and energy-efficiency for the city of Manaus in Brazilian Amazonia,10.1016/S0301-4215(99)00019-1,"{energi, build, consumpt}; {develop, sustain, plan}",
"Cocchiarella, L, Deitchman, SD, Young, DC",2000,ARCHIVES OF FAMILY MEDICINE,Report of the Council on Scientific Affairs - Biohazardous waste management: What the physician needs to know,10.1001/archfami.9.1.26,"{wast, manag, solid}; {activ, school, health}","{recycl, household, collect}"
"Mukherjee, AB, Zevenhoven, R, Brodersen, J, Hylander, LD, Bhattacharya, P",2004,RESOURCES CONSERVATION AND RECYCLING,"Mercury in waste in the European Union: sources, disposal methods and risks",10.1016/j.resconrec.2004.02.009,"{wast, manag, solid}",
"Johnston, RA, Rodier, CJ",1999,JOURNAL OF TRANSPORTATION ENGINEERING-ASCE,"Automated highways: Effects on travel, emissions, and traveler welfare",10.1061/(ASCE)0733-947X(1999)125:3(186),"{toll, lane, link}; {park, space, price}","{travel, mode, choic}; {develop, sustain, plan}"
"Sharaf, AM, AboulNaga, MM, El Diasty, R",2000,RENEWABLE ENERGY,Building-integrated solar photovoltaic systems - a hybrid solar cooled ventilation technique for hot climate applications,10.1016/S0960-1481(99)00021-X,"{air, pollut, qualiti}; {vehicl, electr, charg}; {energi, build, consumpt}; {heat, thermal, comfort}","{model, network, optim}"
"Horner, MW, Murray, AT",2004,ENVIRONMENT AND PLANNING B-PLANNING & DESIGN,Spatial representation and scale impacts in transit service assessment,10.1068/b3046,"{transit, rail, station}; {model, network, optim}; {bus, servic, oper}; {urban, land, citi}","{travel, mode, choic}; {develop, sustain, plan}"
"Burchell, RW, Listokin, D, Galley, CC",2000,HOUSING POLICY DEBATE,"Smart growth: More than a ghost of urban policy past, less than a bold new horizon",,,"{develop, sustain, plan}; {urban, land, citi}"
"Bates, T, Stutz, C, Boyle, D",2000,"TRANSIT: RAIL TRANSIT AND MAINTENANCE, COMMUTER RAIL, MAJOR ACTIVITY CENTER CIRCULATION SYSTEMS, LIGHT RAIL TRANSIT, AND FERRY SERVICE: PUBLIC TRANSIT",Replacing parking with transit evaluation of bus service to offset parking loss during construction of light rail extension at San Diego State University,,"{park, space, price}; {bus, servic, oper}; {transit, rail, station}; {develop, sustain, plan}","{travel, mode, choic}"
"Abbas, KA, Abd-Allah, MH",1999,TRANSPORT REVIEWS,Estimation and assessment of cost allocation models for main transit systems operating in Cairo,10.1080/014416499295448,"{transit, rail, station}; {model, network, optim}; {bus, servic, oper}","{urban, land, citi}; {develop, sustain, plan}"
"Mercier, G, Chartier, M, Couillard, D, Blais, JF",1999,ENVIRONMENTAL MANAGEMENT,Decontamination of fly ash and used lime from municipal waste incinerator using Thiobacillus ferrooxidans,,"{treatment, wastewat, plant}","{air, pollut, qualiti}"
"Cowie, J, Asenova, D",1999,TRANSPORTATION,"Organisation form, scale effects and efficiency in the British bus industry",10.1023/A:1005121506841,"{develop, sustain, plan}","{bus, servic, oper}"
"Van Horen, B",2004,INTERNATIONAL JOURNAL OF URBAN AND REGIONAL RESEARCH,Fragmented coherence: Solid waste management in Colombo,,"{develop, sustain, plan}","{urban, land, citi}; {wast, manag, solid}"
"Trudel, M",1999,TRANSPORTATION QUARTERLY,The taxi as a transit mode,,"{bus, servic, oper}; {transport, public, access}","{transit, rail, station}; {develop, sustain, plan}"
"Levinson, HS",2004,JOURNAL OF TRANSPORTATION ENGINEERING-ASCE,"Highways, people, and places: Past, present, and future",10.1061/(ASCE)0733-947X(2004)130:4(406),"{develop, sustain, plan}; {transport, public, access}; {urban, land, citi}; {toll, lane, link}","{price, congest, road}; {transit, rail, station}"
"Mee, N, Clewes, D, Phillips, PS, Read, AD",2004,RESOURCES CONSERVATION AND RECYCLING,"Effective implementation of a marketing communications strategy for kerbside recycling: a case study from Rushcliffe, UK",10.1016/j.resconrec.2003.12.003,"{recycl, household, collect}; {develop, sustain, plan}","{wast, manag, solid}"
"Davidsson, P, Boman, M",2000,"AGENT SYSTEMS, MOBILE AGENTS AND APPLICATIONS",Saving energy and providing value added services in intelligent buildings: A MAS approach,,"{energi, build, consumpt}; {heat, thermal, comfort}; {model, network, optim}","{bus, servic, oper}"
"Engdahl, F",1999,INDOOR AIR-INTERNATIONAL JOURNAL OF INDOOR AIR QUALITY AND CLIMATE,Stability of mechanical exhaust systems,10.1111/j.1600-0668.1999.00008.x,"{air, pollut, qualiti}; {heat, thermal, comfort}; {energi, build, consumpt}","{model, network, optim}"
"Bianco, MJ",2000,"HIGH-OCCUPANCY VEHICLE SYSTEMS AND DEMAND MANAGEMENT 2000: HIGHWAY OPERATIONS, CAPACITY, AND TRAFFIC CONTROL","Effective transportation demand management - Combining parking pricing, transit incentives, and transportation management in a commercial district of Portland, Oregon",,"{park, space, price}; {travel, mode, choic}","{transit, rail, station}; {price, congest, road}; {develop, sustain, plan}"
"Shoup, DC",2004,REGIONAL SCIENCE AND URBAN ECONOMICS,The ideal source of local public revenue,10.1016/j.regsciurbeco.2003.10.003,"{park, space, price}; {price, congest, road}",
"Vigrass, JW, Gonzalez, SL",2000,"TRANSIT: RAIL TRANSIT AND MAINTENANCE, COMMUTER RAIL, MAJOR ACTIVITY CENTER CIRCULATION SYSTEMS, LIGHT RAIL TRANSIT, AND FERRY SERVICE: PUBLIC TRANSIT","International nature of the Tren Urbano project in San Juan, Puerto Rico",,"{transit, rail, station}; {develop, sustain, plan}","{model, network, optim}"
"Koushki, PA, Yaseen, S, Ali, LI",1999,TRANSPORT REVIEWS,Evaluation of bus transit maintenance and operation costs in Kuwait,10.1080/014416499295411,"{bus, servic, oper}; {transit, rail, station}","{vehicl, electr, charg}; {activ, school, health}"
"Pearce, T, Maunder, DAC, Mbara, TC, Babu, DM, Rwebangira, T",2000,PUBLIC AND NONMOTORIZED TRANSPORTATION IN OTHER NATIONS; WOMEN'S ISSUES IN TRANSPORTATION: SAFETY AND HUMAN PERFORMANCE,"Bus accidents in India, Nepal, Tanzania, and Zimbabwe",,"{transport, public, access}","{urban, land, citi}; {develop, sustain, plan}"
"Schibuola, L",1999,APPLIED THERMAL ENGINEERING,New transfer function coefficients to calculate building load,10.1016/S1359-4311(98)00112-4,"{heat, thermal, comfort}; {energi, build, consumpt}","{model, network, optim}; {air, pollut, qualiti}"
"Woyciechowicz, A, Shliselberg, R",2005,"TRANSIT: BUS, RURAL PUBLIC AND INTERCITY, AND PARATRANSIT",Wayfinding in public transportation,,"{transport, public, access}; {model, network, optim}; {transit, rail, station}; {bus, servic, oper}; {develop, sustain, plan}",
"Pfeifer, GD, Harrison, RM, Lynam, DR",1999,SCIENCE OF THE TOTAL ENVIRONMENT,Personal exposures to airborne metals in London taxi drivers and office workers in 1995 and 1996,10.1016/S0048-9697(99)00201-6,"{air, pollut, qualiti}","{activ, school, health}; {travel, mode, choic}"
"Vilain, P, Wolfrom, P",2000,FREIGHT TRANSPORTATION RESEARCH: FREIGHT TRANSPORTATION (MULTIMODAL),Value pricing and freight traffic - Issues and industry constraints in shifting from peak to off-peak movements,,"{price, congest, road}; {develop, sustain, plan}","{toll, lane, link}; {polici, instrument, effect}"
"Chen, M, Bernstein, DH, Spasovic, LN",2004,ENVIRONMENT AND PLANNING B-PLANNING & DESIGN,Toll-design problem with stochastic route choice,10.1068/b3022,"{toll, lane, link}; {travel, mode, choic}; {model, network, optim}; {price, congest, road}",
"Verhoef, ET, Rouwendal, J",2004,JOURNAL OF REGIONAL SCIENCE,"Pricing, capacity choice, and financing in transportation networks",10.1111/j.0022-4146.2004.00343.x,"{price, congest, road}; {model, network, optim}","{travel, mode, choic}"
"Reed, JA, Ainsworth, BE, Wilson, DK, Mixon, G, Cook, A",2004,PREVENTIVE MEDICINE,Awareness and use of community walking trails,10.1016/j.ypmed.2004.03.013,"{activ, school, health}",
"Bai, U, Hearn, DW, Lawphongpanich, S",2004,NETWORKS,Decomposition techniques for the minimum toll revenue problem,10.1002/net.20024,"{toll, lane, link}; {model, network, optim}","{transport, public, access}"
"Hamed, MM, Olaywah, HH",2000,CITIES,"Travel-related decisions by bus, servis taxi, and private car commuters in the city of Amman, Jordan",10.1016/S0264-2751(99)00052-9,"{travel, mode, choic}; {activ, school, health}; {bus, servic, oper}",
"Hickey, RL",2005,"TRANSIT: PLANNING, MANAGEMENT AND MAINTENANCE, TECHNOLOGY, MARKETING AND FARE POLICY, AND CAPACITY AND QUALTIY OF SEVICE","Impact of transit fare increase on ridership and revenue - Metropolitan Transportation Authority, New York City",10.3141/1927-27,"{transit, rail, station}; {bus, servic, oper}","{price, congest, road}; {travel, mode, choic}"
"Tonn, B",1999,ENVIRONMENT AND PLANNING C-GOVERNMENT AND POLICY,Sustainable cities and energy policies,,,
"Vallejo, M, Lerma, C, Infante, O, Hermosillo, AG, Riojas-Rodriguez, H, Cardenas, M",2004,JOURNAL OF EXPOSURE ANALYSIS AND ENVIRONMENTAL EPIDEMIOLOGY,Personal exposure to particulate matter less than 2.5 mu m in Mexico City: a pilot study,10.1038/sj.jea.7500328,"{air, pollut, qualiti}; {activ, school, health}","{treatment, wastewat, plant}"
"Varelas, PN, Syrigou, AI, Kotoulas, G, Kapaki, EN, Athanasopoulou, C, Spanaki, MV, Papageorgiou, CT",1999,SCIENCE OF THE TOTAL ENVIRONMENT,Cortical atrophy detected by computed tomography in gasoline station attendants,10.1016/S0048-9697(99)00289-2,,"{activ, school, health}; {develop, sustain, plan}"
"de Feijter, R, Evers, JJM, Lodewijks, G",2004,IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS,Improving travel-time reliability by the use of trip booking,10.1109/TITS.2004.837817,"{travel, mode, choic}; {price, congest, road}; {bus, servic, oper}","{model, network, optim}; {bicycl, cycl, cyclist}; {transport, public, access}"
"Hyodo, T, Suzuki, N, Takahashi, K",2000,PEDESTRIAN AND BICYCLE TRANSPORTATION RESEARCH 2000: SAFETY AND HUMAN PERFORMANCE,Modeling of bicycle route and destination choice behavior for bicycle road network plan,,"{bicycl, cycl, cyclist}; {model, network, optim}; {travel, mode, choic}",
"Foote, PJ",2000,"TRANSIT: PLANNING, INTERMODAL FACILITIES, MANAGEMENT, AND MARKETING: PUBLIC TRANSIT",Chicago Transit Authority weekday park-and-ride users - Choice market with ridership growth potential,,"{travel, mode, choic}","{bus, servic, oper}; {transit, rail, station}; {park, space, price}"
"Button, K, Costa, A",1999,ANNALS OF REGIONAL SCIENCE,Economic efficiency gains from urban public transport regulatory reform: Two case studies of changes in Europe,10.1007/s001680050113,"{transport, public, access}; {develop, sustain, plan}; {climat, chang, mitig}",
"Friedler, E, Kovalio, R, Galil, NI",2005,WATER SCIENCE AND TECHNOLOGY,On-site greywater treatment and reuse in multi-storey buildings,,"{treatment, wastewat, plant}","{water, heat, suppli}"
"Kim, H, McConnell, LL, Millner, P",2005,TRANSACTIONS OF THE ASAE,Comparison of odorous volatile compounds from fourteen different commercial composts using solid-phase microextraction,,"{treatment, wastewat, plant}","{air, pollut, qualiti}"
"Cosmi, C, Cuomo, V, Macchiato, M, Mangiamele, L, Masi, S, Salvia, M",2000,ENVIRONMENTAL MODELING & ASSESSMENT,Waste management modeling by MARKAL model: A case study for Basilicata Region,10.1023/A:1019093107590,"{air, pollut, qualiti}; {wast, manag, solid}; {model, network, optim}; {develop, sustain, plan}",
"Lawphongpanich, S, Hearn, DW",2004,MATHEMATICAL PROGRAMMING,An MPEC approach to second-best toll pricing,10.1007/s10107-004-0536-5,"{model, network, optim}; {toll, lane, link}","{transport, public, access}; {price, congest, road}"
"Bouabdallah, N, Dotaro, E, Ciavaglia, L, Le Sauze, N, Pujolle, G",2004,IEEE COMMUNICATIONS MAGAZINE,Resolving the fairness issue in bus-based optical access networks,10.1109/MCOM.2004.1362545,"{model, network, optim}",
"Mont, O",2004,ECOLOGICAL ECONOMICS,Institutionalisation of sustainable consumption patterns based on shared use,10.1016/j.ecolecon.2004.03.030,"{develop, sustain, plan}","{bus, servic, oper}; {model, network, optim}"
"Rodier, CJ, Shaheen, SA, Eaken, AM",2005,"TRANSIT: PLANNING, MANAGEMENT AND MAINTENANCE, TECHNOLOGY, MARKETING AND FARE POLICY, AND CAPACITY AND QUALTIY OF SEVICE","Transit-based smart parking in the San Francisco Bay Area, California - Assessment of user demand and behavioral effects",10.3141/1927-19,"{park, space, price}; {transit, rail, station}; {travel, mode, choic}","{bus, servic, oper}; {develop, sustain, plan}"
"Smith, EB, Swanger, LK",2000,TRANSACTIONS OF THE INSTITUTE OF METAL FINISHING,Toxicity and worldwide environmental regulation of lead-free solders,,"{wast, manag, solid}; {treatment, wastewat, plant}","{develop, sustain, plan}; {water, heat, suppli}"
"West, JJ, Osnaya, P, Laguna, I, Martinez, J, Fernandez, A",2004,ENVIRONMENTAL SCIENCE & TECHNOLOGY,Co-control of urban air pollutants and greenhouse gases in Mexico City,10.1021/es034716g,"{emiss, carbon, ghg}; {air, pollut, qualiti}; {develop, sustain, plan}",
"DeGarie, CJ, Crapper, T, Howe, BM, McCarthy, PJ",2000,WATER SCIENCE AND TECHNOLOGY,Floating geomembrane covers for odour control and biogas collection and utilization in municipal lagoons,,"{treatment, wastewat, plant}","{model, network, optim}"
"Askarian, M, Vakili, M, Kabir, G",2004,INTERNATIONAL JOURNAL OF ENVIRONMENTAL HEALTH RESEARCH,"Hospital waste management status in university hospitals of the Fars province, Iran",10.1080/09603120410001725630,"{wast, manag, solid}","{develop, sustain, plan}"
"Camobreco, V, Ham, R, Barlaz, M, Repa, E, Felker, M, Rousseau, C, Rathle, J",1999,WASTE MANAGEMENT & RESEARCH,Life-cycle inventory of a modern municipal solid waste landfill,10.1177/0734242X9901700602,"{wast, manag, solid}; {develop, sustain, plan}","{water, heat, suppli}; {model, network, optim}; {emiss, carbon, ghg}"
"Thriene, B",2004,GESUNDHEITSWESEN,"Garbage incineration plants - Planning, organisation and operation from health point of view",10.1055/s-2004-813840,"{wast, manag, solid}; {air, pollut, qualiti}; {treatment, wastewat, plant}","{energi, build, consumpt}"
"Jordan, G, Leso, L",2000,PEDESTRIAN AND BICYCLE TRANSPORTATION RESEARCH 2000: SAFETY AND HUMAN PERFORMANCE,Power of the line - Shared-use path conflict reduction,,,"{travel, mode, choic}"
"Lin, ZW",2004,IEEE COMMUNICATIONS MAGAZINE,Network OAM requirements for the New York City Transit network,10.1109/MCOM.2004.1341268,"{model, network, optim}","{develop, sustain, plan}; {transit, rail, station}"
"Calvo, F, Moreno, B, Zamorano, M, Szanto, M",2005,WASTE MANAGEMENT,Environmental diagnosis methodology for municipal waste landfills,10.1016/j.wasman.2005.02.019,"{develop, sustain, plan}; {wast, manag, solid}","{treatment, wastewat, plant}"
"West, K",2004,LOCAL GOVERNMENT STUDIES,Is the French model giving way to a new 'Logic of Appropriateness'? Lessons from urban waste management,10.1080/0300393042000310462,"{develop, sustain, plan}","{model, network, optim}"
"Eder, A",2005,"TRANSIT: PLANNING, MANAGEMENT AND MAINTENANCE, TECHNOLOGY, MARKETING AND FARE POLICY, AND CAPACITY AND QUALTIY OF SEVICE","After September 11, 2001 - How transit agencies prepare for the threat of terrorism",10.3141/1927-11,"{transit, rail, station}; {transport, public, access}; {develop, sustain, plan}",
"Lighthall, DR, Kopecky, S",2000,SOCIETY & NATURAL RESOURCES,Confronting the problem of backyard burning: The case for a national ban,10.1080/089419200279171,"{wast, manag, solid}","{develop, sustain, plan}; {activ, school, health}; {air, pollut, qualiti}"
"Yuksel, M, Kalyanaraman, S",2005,TELECOMMUNICATION SYSTEMS,Effect of pricing intervals on congestion-sensitivity of network prices,10.1023/B:TELS.0000048328.13218.70,"{price, congest, road}; {model, network, optim}",
"Pitfield, D",2000,ENVIRONMENT AND PLANNING B-PLANNING & DESIGN,"Road pricing, traffic congestion and the environment: issues of efficiency and social feasibility",,,
"Maini, CK",2005,INTERNATIONAL JOURNAL OF TECHNOLOGY MANAGEMENT,REVA Electric car: a case study of innovation at RECC,10.1504/IJTM.2005.006824,"{vehicl, electr, charg}; {develop, sustain, plan}","{air, pollut, qualiti}; {urban, land, citi}"
"Marechal, F, Favrat, D, Jochem, E",2005,RESOURCES CONSERVATION AND RECYCLING,Energy in the perspective of the sustainable development: The 2000 W society challenge,10.1016/j.resconrec.2005.01.008,"{energi, build, consumpt}; {develop, sustain, plan}",
"Hirsch, LR, Jordan, JD, Hickey, RL, Cravo, V",2000,"TRANSIT: PLANNING, INTERMODAL FACILITIES, MANAGEMENT, AND MARKETING: PUBLIC TRANSIT",Effects of fare incentives on New York City transit ridership,,"{bus, servic, oper}; {transit, rail, station}",
"Beerepoot, M, Sunikka, M",2005,ENVIRONMENT AND PLANNING B-PLANNING & DESIGN,The contribution of the EC energy certificate in improving sustainability of the housing stock,10.1068/b3118,"{energi, build, consumpt}","{develop, sustain, plan}; {polici, instrument, effect}; {urban, land, citi}"
"Cudahy, JJ, Helsel, RW",2000,WASTE MANAGEMENT,Removal of products of incomplete combustion with carbon,10.1016/S0956-053X(99)00335-9,"{emiss, carbon, ghg}; {wast, manag, solid}",
"Rietveld, P, Wagtendonk, AJ",2004,ENVIRONMENT AND PLANNING A,The location of new residential areas and the preservation of open space: experiences in the Netherlands,10.1068/a36200,"{water, heat, suppli}; {urban, land, citi}","{develop, sustain, plan}; {travel, mode, choic}; {activ, school, health}"
"Ardehali, MM, Saboori, M, Teshnelab, M",2004,ENERGY CONVERSION AND MANAGEMENT,Numerical simulation and analysis of fuzzy PID and PSD control methodologies as dynamic energy efficiency measures,10.1016/j.enconman.2003.11.003,"{heat, thermal, comfort}; {model, network, optim}; {energi, build, consumpt}",
"Daniel, JI, Pahwa, M",2000,JOURNAL OF URBAN ECONOMICS,Comparison of three empirical models of airport congestion pricing,10.1006/juec.1999.2129,"{price, congest, road}; {model, network, optim}",
"Srivastava, PK, Kulshreshtha, K, Mohanty, CS, Pushpangadan, P, Singh, A",2005,WASTE MANAGEMENT,"Stakeholder-based SWOT analysis for successful municipal solid waste management in Lucknow, India",10.1016/j.wasman.2004.08.010,"{develop, sustain, plan}; {wast, manag, solid}",
"Beevers, SD, Carslaw, DC",2005,ATMOSPHERIC ENVIRONMENT,The impact of congestion charging on vehicle emissions in London,10.1016/j.atmosenv.2004.10.001,"{air, pollut, qualiti}; {vehicl, electr, charg}; {emiss, carbon, ghg}; {price, congest, road}; {bus, servic, oper}; {climat, chang, mitig}",
"Savonis, MJ",2000,"ENERGY, AIR QUALITY, AND FUELS 2000: ENERGY AND ENVIRONMENT","Toward a strategic plan for transportation-air quality research, 2000-2010",,"{air, pollut, qualiti}; {develop, sustain, plan}; {transport, public, access}",
"Gutierrez, AI",2004,EURE-REVISTA LATINOAMERICANA DE ESTUDIOS URBANO REGIONALES,Enterprise concentration and efficiency in Buenos Aires' public bus transport,,"{bus, servic, oper}; {air, pollut, qualiti}; {transport, public, access}","{develop, sustain, plan}; {treatment, wastewat, plant}"
"Grant, J",2005,HOUSING STUDIES,Planning responses to gated communities in Canada,10.1080/026730303042000331772,"{develop, sustain, plan}","{urban, land, citi}"
"Daniel, JI, Bekka, K",2000,JOURNAL OF URBAN ECONOMICS,The environmental impact of highway congestion pricing,10.1006/juec.1999.2135,"{price, congest, road}; {emiss, carbon, ghg}; {model, network, optim}; {travel, mode, choic}",
"Giuliano, G",2005,"TRANSIT: PLANNING, MANAGEMENT AND MAINTENANCE, TECHNOLOGY, MARKETING AND FARE POLICY, AND CAPACITY AND QUALTIY OF SEVICE","Low income, public transit, and mobility",10.3141/1927-08,"{transit, rail, station}; {travel, mode, choic}","{transport, public, access}"
"Nunn, S",2004,JOURNAL OF URBAN PLANNING AND DEVELOPMENT-ASCE,"Public and private built investment in the new economy: Exploring regional differences, 1990-2000",10.1061/(ASCE)0733-9488(2004)130:3(125),"{develop, sustain, plan}; {transport, public, access}",
"Stuart, KR, Mednick, M, Bockman, J",2000,"TRANSIT: PLANNING, INTERMODAL FACILITIES, MANAGEMENT, AND MARKETING: PUBLIC TRANSIT",Structural equation model of customer satisfaction for the New York City subway system,,"{model, network, optim}; {develop, sustain, plan}","{travel, mode, choic}"
"Naeher, LP, Aguilar-Villalobos, M, Miller, T",2004,ARCHIVES OF ENVIRONMENTAL HEALTH,"Blood lead survey of children, pregnant women, professional drivers, street workers, and office workers in Trujillo, Peru",10.3200/AEOH.59.7.359-362,"{activ, school, health}",
"Bouamrane, K, Tahon, C, Sevaux, M, Beldjilali, B",2005,INFORMATICA,"Decision making system for regulation of a bimodal urban transportation network, associating a classical and a multi-agent approaches",,"{model, network, optim}; {transport, public, access}; {develop, sustain, plan}","{bus, servic, oper}"
"Levinson, R, Akbari, H, Konopacki, S, Bretz, S",2005,ENERGY POLICY,Inclusion of cool roofs in nonresidential Title 24 prescriptive requirements,10.1016/S0301-4215(03)00206-4,"{heat, thermal, comfort}; {green, build, roof}; {energi, build, consumpt}","{climat, chang, mitig}"
"Calthrop, E, Proost, S, van Dender, K",2000,URBAN STUDIES,Parking policies and road pricing,10.1080/0042098002294,"{park, space, price}; {price, congest, road}; {vehicl, electr, charg}","{transport, public, access}; {model, network, optim}"
"Dascalaki, E, Balaras, CA",2004,ENERGY AND BUILDINGS,XENIOS - a methodology for assessing refurbishment scenarios and the potential of application of RES and RUE in hotels,10.1016/j.enbuild.2004.03.007,"{energi, build, consumpt}","{develop, sustain, plan}"
"Westaway, MS, Viljoen, E",2000,HEALTH & PLACE,"Health and hygiene knowledge, attitudes and behaviour",10.1016/S1353-8292(99)00027-1,"{activ, school, health}","{develop, sustain, plan}"
"Kim, KS, Hwang, K",2005,CITIES,An application of road pricing schemes to urban expressways in Seoul,10.1016/j.cities.2004.10.005,"{toll, lane, link}; {price, congest, road}","{develop, sustain, plan}; {transport, public, access}"
"Wang, Z, Bai, Z, Yu, H, Zhang, J, Zhu, T",2004,ENERGY AND BUILDINGS,Regulatory standards related to building energy conservation and indoor-air-quality during rapid urbanization in China,10.1016/j.enbuild.2003.09.013,"{energi, build, consumpt}; {air, pollut, qualiti}; {heat, thermal, comfort}","{develop, sustain, plan}"
"Hedman, B, Burvall, J, Nilsson, C, Marklund, S",2005,WASTE MANAGEMENT,Emissions from small-scale energy production using co-combustion of biofuel and the dry fraction of household waste,10.1016/j.wasman.2004.07.018,"{wast, manag, solid}; {recycl, household, collect}; {emiss, carbon, ghg}",
"Chan, AT, Yeung, VCH",2005,ENERGY AND BUILDINGS,"Implementing building energy codes in Hong Kong: energy savings, environmental impacts and cost",10.1016/j.enbuild.2004.09.018,"{energi, build, consumpt}; {emiss, carbon, ghg}",
"Nie, YF, Niu, DJ, Bai, QZ",2000,JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART A-TOXIC/HAZARDOUS SUBSTANCES & ENVIRONMENTAL ENGINEERING,The management of municipal solid waste in China,,"{wast, manag, solid}; {develop, sustain, plan}; {treatment, wastewat, plant}; {recycl, household, collect}","{transport, public, access}"
"Becker, M",2005,SCHWEIZER ARCHIV FUR TIERHEILKUNDE,A federal school of black smiths,10.1024/0036-7281.147.1.5,"{activ, school, health}","{energi, build, consumpt}; {transport, public, access}"
"Ziliaskopoulos, AK, Waller, ST, Li, Y, Byram, M",2004,JOURNAL OF TRANSPORTATION ENGINEERING-ASCE,Large-scale dynamic traffic assignment: Implementation issues and computational analysis,10.1061/(ASCE)-947X(2004)130:5(585),"{model, network, optim}","{price, congest, road}; {urban, land, citi}; {transport, public, access}"
"Yik, FWH, Wan, KSY",2005,ENERGY,An evaluation of the appropriateness of using overall thermal transfer value (OTTV) to regulate envelope energy performance of air-conditioned buildings,10.1016/j.energy.2004.03.001,"{heat, thermal, comfort}; {energi, build, consumpt}",
"Kotsou, M, Kyriacou, A, Lasaridi, K, Pilidis, G",2004,PROCESS BIOCHEMISTRY,Integrated aerobic biological treatment and chemical oxidation with Fenton's reagent for the processing of green table olive wastewater,10.1016/S0032-9592(03)00308-X,"{treatment, wastewat, plant}",
"Pavlovas, V",2004,ENERGY AND BUILDINGS,Demand controlled ventilation - A case study for existing Swedish multifamily buildings,10.1016/j.enbuild.2004.06.009,"{air, pollut, qualiti}; {heat, thermal, comfort}; {model, network, optim}","{climat, chang, mitig}"
"Chiang, M",2005,IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS,Balancing transport and physical layers in wireless multihop networks: Jointly optimal congestion control and power control,10.1109/JSAC.2004.837347,"{model, network, optim}; {price, congest, road}",
"Jim, CY",2004,CITIES,Green-space preservation and allocation for sustainable greening of compact cities,10.1016/j.cities.2004.04.004,"{green, build, roof}; {urban, land, citi}; {develop, sustain, plan}",
"Cuddihy, J, Kennedy, C, Byer, P",2005,CANADIAN JOURNAL OF CIVIL ENGINEERING,Energy use in Canada: Environmental impacts and opportunities in relationship to infrastructure systems,10.1139/L04-100,"{energi, build, consumpt}; {treatment, wastewat, plant}; {transport, public, access}; {water, heat, suppli}","{urban, land, citi}; {activ, school, health}; {develop, sustain, plan}"
"Cofie, OO, Kranjac-Berisavljevic, G, Drechsel, P",2005,RENEWABLE AGRICULTURE AND FOOD SYSTEMS,The use of human waste for peri-urban agriculture in Northern Ghana,10.1079/RAF200491,"{treatment, wastewat, plant}","{wast, manag, solid}; {develop, sustain, plan}"
"Lang, SW",2004,ENERGY AND BUILDINGS,Progress in energy-efficiency standards for residential buildings in China,10.1016/j.enbuild.2003.09.014,"{energi, build, consumpt}; {heat, thermal, comfort}","{develop, sustain, plan}"
"Hau, TD",2005,TRANSPORTMETRICA,"Economic fundamentals of road pricing: A diagrammatic analysis, Part II - Relaxation of assumptions",,"{price, congest, road}","{develop, sustain, plan}; {bus, servic, oper}"
"Seik, FT",2000,HABITAT INTERNATIONAL,Vehicle ownership restraints and car sharing in Singapore,,"{travel, mode, choic}; {transport, public, access}","{vehicl, electr, charg}"
