label,timeset,weight<total_link_strength>,weight<norm._citations>,score<citations>,score<norm._citations>,score<pub._year>,weight<links>,weight<citations>,cluster,title,source,description,url,main_topic
dixon (2011),,53,0.5247,10,0.5247,2011,30,10,4,"=MID(N394,FIND(""Title:"",N394)+15,FIND(""<"",N394,FIND(""Title:"",N394)+15)-FIND(""Title:"",N394)-15)","=MID(N394,FIND(""Source:"",N394)+16,FIND("","",N394,FIND(""Source:"",N394)+15)-FIND(""Source:"",N394)-16)","<table><tr><td>Authors:</td><td>dixon, rk; scheer, rm; williams, gt</td></tr><tr><td>Title:</td><td>sustainable energy investments: contributions of the global environment facility</td></tr><tr><td>Source:</td><td>mitigation and adaptation strategies for global change, 16(1), 83-102</td></tr><tr><td>Year:</td><td>2011</td></tr></table>",http://dx.doi.org/10.1007/s11027-010-9253-y,"{energi, build, consumpt}"
allwood (2011),,57,8.0806,154,8.0806,2011,52,154,4,"=MID(N395,FIND(""Title:"",N395)+15,FIND(""<"",N395,FIND(""Title:"",N395)+15)-FIND(""Title:"",N395)-15)","=MID(N395,FIND(""Source:"",N395)+16,FIND("","",N395,FIND(""Source:"",N395)+15)-FIND(""Source:"",N395)-16)","<table><tr><td>Authors:</td><td>allwood, jm; ashby, mf; gutowski, tg; worrell, e</td></tr><tr><td>Title:</td><td>material efficiency: a white paper</td></tr><tr><td>Source:</td><td>resources conservation and recycling, 55(3), 362-381</td></tr><tr><td>Year:</td><td>2011</td></tr></table>",http://dx.doi.org/10.1016/j.resconrec.2010.11.002,"{develop, sustain, plan}"
grdzelishvili (2011),,72,0.3673,7,0.3673,2011,62,7,2,"=MID(N396,FIND(""Title:"",N396)+15,FIND(""<"",N396,FIND(""Title:"",N396)+15)-FIND(""Title:"",N396)-15)","=MID(N396,FIND(""Source:"",N396)+16,FIND("","",N396,FIND(""Source:"",N396)+15)-FIND(""Source:"",N396)-16)","<table><tr><td>Authors:</td><td>grdzelishvili, i; sathre, r</td></tr><tr><td>Title:</td><td>understanding the urban travel attitudes and behavior of tbilisi residents</td></tr><tr><td>Source:</td><td>transport policy, 18(1), 38-45</td></tr><tr><td>Year:</td><td>2011</td></tr></table>",http://dx.doi.org/10.1016/j.tranpol.2010.05.006,"{transport, public, access}"
buehler (2011),,79,1.3643,26,1.3643,2011,51,26,2,"=MID(N397,FIND(""Title:"",N397)+15,FIND(""<"",N397,FIND(""Title:"",N397)+15)-FIND(""Title:"",N397)-15)","=MID(N397,FIND(""Source:"",N397)+16,FIND("","",N397,FIND(""Source:"",N397)+15)-FIND(""Source:"",N397)-16)","<table><tr><td>Authors:</td><td>buehler, r; pucher, j</td></tr><tr><td>Title:</td><td>making public transport financially sustainable</td></tr><tr><td>Source:</td><td>transport policy, 18(1), 126-138</td></tr><tr><td>Year:</td><td>2011</td></tr></table>",http://dx.doi.org/10.1016/j.tranpol.2010.07.002,"{bus, servic, oper}"
neutens (2011),,132,2.5186,48,2.5186,2011,51,48,2,"=MID(N398,FIND(""Title:"",N398)+15,FIND(""<"",N398,FIND(""Title:"",N398)+15)-FIND(""Title:"",N398)-15)","=MID(N398,FIND(""Source:"",N398)+16,FIND("","",N398,FIND(""Source:"",N398)+15)-FIND(""Source:"",N398)-16)","<table><tr><td>Authors:</td><td>neutens, t; schwanen, t; witlox, f</td></tr><tr><td>Title:</td><td>the prism of everyday life: towards a new research agenda for time geography</td></tr><tr><td>Source:</td><td>transport reviews, 31(1), 25-47</td></tr><tr><td>Year:</td><td>2011</td></tr></table>",http://dx.doi.org/10.1080/01441647.2010.484153,"{develop, sustain, plan}"
zhao (2011),,341,0.4198,8,0.4198,2011,145,8,2,"=MID(N399,FIND(""Title:"",N399)+15,FIND(""<"",N399,FIND(""Title:"",N399)+15)-FIND(""Title:"",N399)-15)","=MID(N399,FIND(""Source:"",N399)+16,FIND("","",N399,FIND(""Source:"",N399)+15)-FIND(""Source:"",N399)-16)","<table><tr><td>Authors:</td><td>zhao, pj</td></tr><tr><td>Title:</td><td>car use, commuting and urban form in a rapidly growing city: evidence from beijing</td></tr><tr><td>Source:</td><td>transportation planning and technology, 34(6), 509-527</td></tr><tr><td>Year:</td><td>2011</td></tr></table>",http://dx.doi.org/10.1080/03081060.2011.600049,"{travel, mode, choic}"
ottomanelli (2011),,99,0.3673,7,0.3673,2011,71,7,7,"=MID(N400,FIND(""Title:"",N400)+15,FIND(""<"",N400,FIND(""Title:"",N400)+15)-FIND(""Title:"",N400)-15)","=MID(N400,FIND(""Source:"",N400)+16,FIND("","",N400,FIND(""Source:"",N400)+15)-FIND(""Source:"",N400)-16)","<table><tr><td>Authors:</td><td>ottomanelli, m; dell'orco, m; sassanelli, d</td></tr><tr><td>Title:</td><td>modelling parking choice behaviour using possibility theory</td></tr><tr><td>Source:</td><td>transportation planning and technology, 34(7), 647-667</td></tr><tr><td>Year:</td><td>2011</td></tr></table>",http://dx.doi.org/10.1080/03081060.2011.602846,"{park, space, price}"
tillema (2011),,116,0.2624,5,0.2624,2011,95,5,7,"=MID(N401,FIND(""Title:"",N401)+15,FIND(""<"",N401,FIND(""Title:"",N401)+15)-FIND(""Title:"",N401)-15)","=MID(N401,FIND(""Source:"",N401)+16,FIND("","",N401,FIND(""Source:"",N401)+15)-FIND(""Source:"",N401)-16)","<table><tr><td>Authors:</td><td>tillema, t; verhoef, e; van wee, b; van amelsfort, d</td></tr><tr><td>Title:</td><td>evaluating the effects of urban congestion pricing: geographical accessibility versus social surplus</td></tr><tr><td>Source:</td><td>transportation planning and technology, 34(7), 669-689</td></tr><tr><td>Year:</td><td>2011</td></tr></table>",http://dx.doi.org/10.1080/03081060.2011.602848,"{price, congest, road}"
mirabel (2011),,383,0.3148,6,0.3148,2011,200,6,1,"=MID(N402,FIND(""Title:"",N402)+15,FIND(""<"",N402,FIND(""Title:"",N402)+15)-FIND(""Title:"",N402)-15)","=MID(N402,FIND(""Source:"",N402)+16,FIND("","",N402,FIND(""Source:"",N402)+15)-FIND(""Source:"",N402)-16)","<table><tr><td>Authors:</td><td>mirabel, f; reymond, m</td></tr><tr><td>Title:</td><td>bottleneck congestion pricing and modal split redistribution of toll revenue</td></tr><tr><td>Source:</td><td>transportation research part a-policy and practice, 45(1), 18-30</td></tr><tr><td>Year:</td><td>2011</td></tr></table>",http://dx.doi.org/10.1016/j.tra.2010.08.005,"{toll, lane, link}"
dube (2011),,189,0.7871,15,0.7871,2011,45,15,2,"=MID(N403,FIND(""Title:"",N403)+15,FIND(""<"",N403,FIND(""Title:"",N403)+15)-FIND(""Title:"",N403)-15)","=MID(N403,FIND(""Source:"",N403)+16,FIND("","",N403,FIND(""Source:"",N403)+15)-FIND(""Source:"",N403)-16)","<table><tr><td>Authors:</td><td>dube, j; rosiers, fd; theriault, m; dib, p</td></tr><tr><td>Title:</td><td>economic impact of a supply change in mass transit in urban areas a canadian example</td></tr><tr><td>Source:</td><td>transportation research part a-policy and practice, 45(1), 46-62</td></tr><tr><td>Year:</td><td>2011</td></tr></table>",http://dx.doi.org/10.1016/j.tra.2010.09.002,"{bus, servic, oper}"
wang (2011),,99,0.5247,10,0.5247,2011,83,10,8,"=MID(N404,FIND(""Title:"",N404)+15,FIND(""<"",N404,FIND(""Title:"",N404)+15)-FIND(""Title:"",N404)-15)","=MID(N404,FIND(""Source:"",N404)+16,FIND("","",N404,FIND(""Source:"",N404)+15)-FIND(""Source:"",N404)-16)","<table><tr><td>Authors:</td><td>wang, jyt; lindsey, r; yang, h</td></tr><tr><td>Title:</td><td>nonlinear pricing on private roads with congestion and toll collection costs</td></tr><tr><td>Source:</td><td>transportation research part b-methodological, 45(1), 9-40</td></tr><tr><td>Year:</td><td>2011</td></tr></table>",http://dx.doi.org/10.1016/j.trb.2010.05.004,"{price, congest, road}"
van den berg (2011),,213,1.6266,31,1.6266,2011,123,31,1,"=MID(N405,FIND(""Title:"",N405)+15,FIND(""<"",N405,FIND(""Title:"",N405)+15)-FIND(""Title:"",N405)-15)","=MID(N405,FIND(""Source:"",N405)+16,FIND("","",N405,FIND(""Source:"",N405)+15)-FIND(""Source:"",N405)-16)","<table><tr><td>Authors:</td><td>van den berg, v; verhoef, et</td></tr><tr><td>Title:</td><td>congestion tolling in the bottleneck model with heterogeneous values of time</td></tr><tr><td>Source:</td><td>transportation research part b-methodological, 45(1), 60-78</td></tr><tr><td>Year:</td><td>2011</td></tr></table>",http://dx.doi.org/10.1016/j.trb.2010.04.003,"{toll, lane, link}"
barter (2011),,87,0.2624,5,0.2624,2011,58,5,7,"=MID(N406,FIND(""Title:"",N406)+15,FIND(""<"",N406,FIND(""Title:"",N406)+15)-FIND(""Title:"",N406)-15)","=MID(N406,FIND(""Source:"",N406)+16,FIND("","",N406,FIND(""Source:"",N406)+15)-FIND(""Source:"",N406)-16)","<table><tr><td>Authors:</td><td>barter, pa</td></tr><tr><td>Title:</td><td>parking requirements in some major asian cities</td></tr><tr><td>Source:</td><td>transportation research record, (2245), 79-86</td></tr><tr><td>Year:</td><td>2011</td></tr></table>",http://dx.doi.org/10.3141/2245-10,"{park, space, price}"
bachand-marleau (2011),,65,1.0494,20,1.0494,2011,37,20,5,"=MID(N407,FIND(""Title:"",N407)+15,FIND(""<"",N407,FIND(""Title:"",N407)+15)-FIND(""Title:"",N407)-15)","=MID(N407,FIND(""Source:"",N407)+16,FIND("","",N407,FIND(""Source:"",N407)+15)-FIND(""Source:"",N407)-16)","<table><tr><td>Authors:</td><td>bachand-marleau, j; larsen, j; el-geneidy, am</td></tr><tr><td>Title:</td><td>much-anticipated marriage of cycling and transit how will it work?</td></tr><tr><td>Source:</td><td>transportation research record, (2247), 109-117</td></tr><tr><td>Year:</td><td>2011</td></tr></table>",http://dx.doi.org/10.3141/2247-13,"{bicycl, cycl, cyclist}"
tscharaktschiew (2010),,301,0.4181,10,0.4181,2010,206,10,8,"=MID(N408,FIND(""Title:"",N408)+15,FIND(""<"",N408,FIND(""Title:"",N408)+15)-FIND(""Title:"",N408)-15)","=MID(N408,FIND(""Source:"",N408)+16,FIND("","",N408,FIND(""Source:"",N408)+15)-FIND(""Source:"",N408)-16)","<table><tr><td>Authors:</td><td>tscharaktschiew, s; hirte, g</td></tr><tr><td>Title:</td><td>the drawbacks and opportunities of carbon charges in metropolitan areas - a spatial general equilibrium approach</td></tr><tr><td>Source:</td><td>ecological economics, 70(2), 339-357</td></tr><tr><td>Year:</td><td>2010</td></tr></table>",http://dx.doi.org/10.1016/j.ecolecon.2010.09.005,"{emiss, carbon, ghg}"
wolch (2010),,124,0.2509,6,0.2509,2010,99,6,2,"=MID(N409,FIND(""Title:"",N409)+15,FIND(""<"",N409,FIND(""Title:"",N409)+15)-FIND(""Title:"",N409)-15)","=MID(N409,FIND(""Source:"",N409)+16,FIND("","",N409,FIND(""Source:"",N409)+15)-FIND(""Source:"",N409)-16)","<table><tr><td>Authors:</td><td>wolch, j; newell, j; seymour, m; huang, hb; reynolds, k; mapes, j</td></tr><tr><td>Title:</td><td>the forgotten and the future: reclaiming back alleys for a sustainable city</td></tr><tr><td>Source:</td><td>environment and planning a, 42(12), 2874-2896</td></tr><tr><td>Year:</td><td>2010</td></tr></table>",http://dx.doi.org/10.1068/a42259,"{urban, land, citi}"
barker (2010),,95,0.4599,11,0.4599,2010,66,11,3,"=MID(N410,FIND(""Title:"",N410)+15,FIND(""<"",N410,FIND(""Title:"",N410)+15)-FIND(""Title:"",N410)-15)","=MID(N410,FIND(""Source:"",N410)+16,FIND("","",N410,FIND(""Source:"",N410)+15)-FIND(""Source:"",N410)-16)","<table><tr><td>Authors:</td><td>barker, t; anger, a; dessens, o; pollitt, h; rogers, h; scrieciu, s; jones, r; pyle, j</td></tr><tr><td>Title:</td><td>integrated modelling of climate control and air pollution: methodology and results from one-way coupling of an energy-environment-economy (e3mg) and atmospheric chemistry model (p-tomcat) in decarbonising scenarios for mexico to 2050</td></tr><tr><td>Source:</td><td>environmental science & policy, 13(8), 661-670</td></tr><tr><td>Year:</td><td>2010</td></tr></table>",http://dx.doi.org/10.1016/j.envsci.2010.09.008,"{air, pollut, qualiti}"
kang (2010),,43,0.2927,7,0.2927,2010,34,7,4,"=MID(N411,FIND(""Title:"",N411)+15,FIND(""<"",N411,FIND(""Title:"",N411)+15)-FIND(""Title:"",N411)-15)","=MID(N411,FIND(""Source:"",N411)+16,FIND("","",N411,FIND(""Source:"",N411)+15)-FIND(""Source:"",N411)-16)","<table><tr><td>Authors:</td><td>kang, ym; wang, yj; zhong, k; liu, jp</td></tr><tr><td>Title:</td><td>temperature ranges of the application of air-to-air heat recovery ventilator in supermarkets in winter, china</td></tr><tr><td>Source:</td><td>energy and buildings, 42(12), 2289-2295</td></tr><tr><td>Year:</td><td>2010</td></tr></table>",http://dx.doi.org/10.1016/j.enbuild.2010.07.012,"{heat, thermal, comfort}"
yao (2010),,411,0.4599,11,0.4599,2010,188,11,1,"=MID(N412,FIND(""Title:"",N412)+15,FIND(""<"",N412,FIND(""Title:"",N412)+15)-FIND(""Title:"",N412)-15)","=MID(N412,FIND(""Source:"",N412)+16,FIND("","",N412,FIND(""Source:"",N412)+15)-FIND(""Source:"",N412)-16)","<table><tr><td>Authors:</td><td>yao, t; friesz, tl; wei, mm; yin, yf</td></tr><tr><td>Title:</td><td>congestion derivatives for a traffic bottleneck</td></tr><tr><td>Source:</td><td>transportation research part b-methodological, 44(10), 1149-1165</td></tr><tr><td>Year:</td><td>2010</td></tr></table>",http://dx.doi.org/10.1016/j.trb.2010.03.002,"{price, congest, road}"
burch (2010),,92,2.2161,53,2.2161,2010,76,53,3,"=MID(N413,FIND(""Title:"",N413)+15,FIND(""<"",N413,FIND(""Title:"",N413)+15)-FIND(""Title:"",N413)-15)","=MID(N413,FIND(""Source:"",N413)+16,FIND("","",N413,FIND(""Source:"",N413)+15)-FIND(""Source:"",N413)-16)","<table><tr><td>Authors:</td><td>burch, s</td></tr><tr><td>Title:</td><td>in pursuit of resilient, low carbon communities: an examination of barriers to action in three canadian cities</td></tr><tr><td>Source:</td><td>energy policy, 38(12), 7575-7585</td></tr><tr><td>Year:</td><td>2010</td></tr></table>",http://dx.doi.org/10.1016/j.enpol.2009.06.070,"{climat, chang, mitig}"
iwaro (2010),,68,2.1743,52,2.1743,2010,52,52,4,"=MID(N414,FIND(""Title:"",N414)+15,FIND(""<"",N414,FIND(""Title:"",N414)+15)-FIND(""Title:"",N414)-15)","=MID(N414,FIND(""Source:"",N414)+16,FIND("","",N414,FIND(""Source:"",N414)+15)-FIND(""Source:"",N414)-16)","<table><tr><td>Authors:</td><td>iwaro, j; mwasha, a</td></tr><tr><td>Title:</td><td>a review of building energy regulation and policy for energy conservation in developing countries</td></tr><tr><td>Source:</td><td>energy policy, 38(12), 7744-7755</td></tr><tr><td>Year:</td><td>2010</td></tr></table>",http://dx.doi.org/10.1016/j.enpol.2010.08.027,"{energi, build, consumpt}"
schuitema (2010),,145,0.669,16,0.669,2010,93,16,7,"=MID(N415,FIND(""Title:"",N415)+15,FIND(""<"",N415,FIND(""Title:"",N415)+15)-FIND(""Title:"",N415)-15)","=MID(N415,FIND(""Source:"",N415)+16,FIND("","",N415,FIND(""Source:"",N415)+15)-FIND(""Source:"",N415)-16)","<table><tr><td>Authors:</td><td>schuitema, g; steg, l; rothengatter, ja</td></tr><tr><td>Title:</td><td>the acceptability, personal outcome expectations, and expected effects of transport pricing policies</td></tr><tr><td>Source:</td><td>journal of environmental psychology, 30(4), 587-593</td></tr><tr><td>Year:</td><td>2010</td></tr></table>",http://dx.doi.org/10.1016/j.jenvp.2010.05.002,"{price, congest, road}"
bai (2010),,196,0.2091,5,0.2091,2010,123,5,1,"=MID(N416,FIND(""Title:"",N416)+15,FIND(""<"",N416,FIND(""Title:"",N416)+15)-FIND(""Title:"",N416)-15)","=MID(N416,FIND(""Source:"",N416)+16,FIND("","",N416,FIND(""Source:"",N416)+15)-FIND(""Source:"",N416)-16)","<table><tr><td>Authors:</td><td>bai, lh; hearn, dw; lawphongpanich, s</td></tr><tr><td>Title:</td><td>a heuristic method for the minimum toll booth problem</td></tr><tr><td>Source:</td><td>journal of global optimization, 48(4), 533-548</td></tr><tr><td>Year:</td><td>2010</td></tr></table>",http://dx.doi.org/10.1007/s10898-010-9527-7,"{toll, lane, link}"
arvesen (2010),,60,0.2091,5,0.2091,2010,47,5,3,"=MID(N417,FIND(""Title:"",N417)+15,FIND(""<"",N417,FIND(""Title:"",N417)+15)-FIND(""Title:"",N417)-15)","=MID(N417,FIND(""Source:"",N417)+16,FIND("","",N417,FIND(""Source:"",N417)+15)-FIND(""Source:"",N417)-16)","<table><tr><td>Authors:</td><td>arvesen, a; liu, jr; hertwich, eg</td></tr><tr><td>Title:</td><td>energy cost of living and associated pollution for beijing residents</td></tr><tr><td>Source:</td><td>journal of industrial ecology, 14(6), 890-901</td></tr><tr><td>Year:</td><td>2010</td></tr></table>",http://dx.doi.org/10.1111/j.1530-9290.2010.00265.x,"{emiss, carbon, ghg}"
larsen (2010),,163,0.7944,19,0.7944,2010,85,19,3,"=MID(N418,FIND(""Title:"",N418)+15,FIND(""<"",N418,FIND(""Title:"",N418)+15)-FIND(""Title:"",N418)-15)","=MID(N418,FIND(""Source:"",N418)+16,FIND("","",N418,FIND(""Source:"",N418)+15)-FIND(""Source:"",N418)-16)","<table><tr><td>Authors:</td><td>larsen, hn; hertwich, eg</td></tr><tr><td>Title:</td><td>implementing carbon-footprint-based calculation tools in municipal greenhouse gas inventories</td></tr><tr><td>Source:</td><td>journal of industrial ecology, 14(6), 965-977</td></tr><tr><td>Year:</td><td>2010</td></tr></table>",http://dx.doi.org/10.1111/j.1530-9290.2010.00295.x,"{climat, chang, mitig}"
duncan (2010),,226,0.3345,8,0.3345,2010,137,8,2,"=MID(N419,FIND(""Title:"",N419)+15,FIND(""<"",N419,FIND(""Title:"",N419)+15)-FIND(""Title:"",N419)-15)","=MID(N419,FIND(""Source:"",N419)+16,FIND("","",N419,FIND(""Source:"",N419)+15)-FIND(""Source:"",N419)-16)","<table><tr><td>Authors:</td><td>duncan, m</td></tr><tr><td>Title:</td><td>to park or to develop: trade-off in rail transit passenger demand</td></tr><tr><td>Source:</td><td>journal of planning education and research, 30(2), 162-181</td></tr><tr><td>Year:</td><td>2010</td></tr></table>",http://dx.doi.org/10.1177/0739456x10385935,
sirisoma (2010),,51,0.6272,15,0.6272,2010,30,15,7,"=MID(N420,FIND(""Title:"",N420)+15,FIND(""<"",N420,FIND(""Title:"",N420)+15)-FIND(""Title:"",N420)-15)","=MID(N420,FIND(""Source:"",N420)+16,FIND("","",N420,FIND(""Source:"",N420)+15)-FIND(""Source:"",N420)-16)","<table><tr><td>Authors:</td><td>sirisoma, rmnt; wong, sc; lam, whk; wang, d; yang, h; zhang, p</td></tr><tr><td>Title:</td><td>empirical evidence for taxi customer-search model</td></tr><tr><td>Source:</td><td>proceedings of the institution of civil engineers-transport, 163(4), 203-210</td></tr><tr><td>Year:</td><td>2010</td></tr></table>",http://dx.doi.org/10.1680/tran.2010.163.4.203,"{travel, mode, choic}"
savage (2010),,124,0.2927,7,0.2927,2010,69,7,8,"=MID(N421,FIND(""Title:"",N421)+15,FIND(""<"",N421,FIND(""Title:"",N421)+15)-FIND(""Title:"",N421)-15)","=MID(N421,FIND(""Source:"",N421)+16,FIND("","",N421,FIND(""Source:"",N421)+15)-FIND(""Source:"",N421)-16)","<table><tr><td>Authors:</td><td>savage, i</td></tr><tr><td>Title:</td><td>the dynamics of fare and frequency choice in urban transit</td></tr><tr><td>Source:</td><td>transportation research part a-policy and practice, 44(10), 815-829</td></tr><tr><td>Year:</td><td>2010</td></tr></table>",http://dx.doi.org/10.1016/j.tra.2010.08.002,"{bus, servic, oper}"
ogilvie (2010),,153,1.8816,45,1.8816,2010,77,45,5,"=MID(N422,FIND(""Title:"",N422)+15,FIND(""<"",N422,FIND(""Title:"",N422)+15)-FIND(""Title:"",N422)-15)","=MID(N422,FIND(""Source:"",N422)+16,FIND("","",N422,FIND(""Source:"",N422)+15)-FIND(""Source:"",N422)-16)","<table><tr><td>Authors:</td><td>ogilvie, d; griffin, s; jones, a; mackett, r; guell, c; panter, j; jones, n; cohn, s; yang, l; chapman, c</td></tr><tr><td>Title:</td><td>commuting and health in cambridge: a study of a 'natural experiment' in the provision of new transport infrastructure</td></tr><tr><td>Source:</td><td>bmc public health, 10</td></tr><tr><td>Year:</td><td>2010</td></tr></table>",http://dx.doi.org/10.1186/1471-2458-10-703,"{activ, school, health}"
larsen (2010),,103,1.0453,25,1.0453,2010,63,25,3,"=MID(N423,FIND(""Title:"",N423)+15,FIND(""<"",N423,FIND(""Title:"",N423)+15)-FIND(""Title:"",N423)-15)","=MID(N423,FIND(""Source:"",N423)+16,FIND("","",N423,FIND(""Source:"",N423)+15)-FIND(""Source:"",N423)-16)","<table><tr><td>Authors:</td><td>larsen, hn; hertwich, eg</td></tr><tr><td>Title:</td><td>identifying important characteristics of municipal carbon footprints</td></tr><tr><td>Source:</td><td>ecological economics, 70(1), 60-66</td></tr><tr><td>Year:</td><td>2010</td></tr></table>",http://dx.doi.org/10.1016/j.ecolecon.2010.05.001,"{emiss, carbon, ghg}"
calvino (2010),,84,1.0035,24,1.0035,2010,52,24,4,"=MID(N424,FIND(""Title:"",N424)+15,FIND(""<"",N424,FIND(""Title:"",N424)+15)-FIND(""Title:"",N424)-15)","=MID(N424,FIND(""Source:"",N424)+16,FIND("","",N424,FIND(""Source:"",N424)+15)-FIND(""Source:"",N424)-16)","<table><tr><td>Authors:</td><td>calvino, f; la gennusa, m; morale, m; rizzo, g; scaccianoce, g</td></tr><tr><td>Title:</td><td>comparing different control strategies for indoor thermal comfort aimed at the evaluation of the energy cost of quality of building</td></tr><tr><td>Source:</td><td>applied thermal engineering, 30(16), 2386-2395</td></tr><tr><td>Year:</td><td>2010</td></tr></table>",http://dx.doi.org/10.1016/j.applthermaleng.2010.06.008,"{heat, thermal, comfort}"
wilson (2010),,70,0.9617,23,0.9617,2010,39,23,5,"=MID(N425,FIND(""Title:"",N425)+15,FIND(""<"",N425,FIND(""Title:"",N425)+15)-FIND(""Title:"",N425)-15)","=MID(N425,FIND(""Source:"",N425)+16,FIND("","",N425,FIND(""Source:"",N425)+15)-FIND(""Source:"",N425)-16)","<table><tr><td>Authors:</td><td>wilson, dk; trumpeter, nn; st george, sm; coulon, sm; griffin, s; van horn, ml; lawman, hg; wandersman, a; egan, b; forthofer, m; goodlett, bd; kitzman-ulrich, h; gadson, b</td></tr><tr><td>Title:</td><td>an overview of the ",http://dx.doi.org/10.1016/j.cct.2010.08.009,"{activ, school, health}"
wong (2010),,38,0.8781,21,0.8781,2010,28,21,4,"=MID(N426,FIND(""Title:"",N426)+15,FIND(""<"",N426,FIND(""Title:"",N426)+15)-FIND(""Title:"",N426)-15)","=MID(N426,FIND(""Source:"",N426)+16,FIND("","",N426,FIND(""Source:"",N426)+15)-FIND(""Source:"",N426)-16)","<table><tr><td>Authors:</td><td>wong, sl; wan, kkw; li, dhw; lam, jc</td></tr><tr><td>Title:</td><td>impact of climate change on residential building envelope cooling loads in subtropical climates</td></tr><tr><td>Source:</td><td>energy and buildings, 42(11), 2098-2103</td></tr><tr><td>Year:</td><td>2010</td></tr></table>",http://dx.doi.org/10.1016/j.enbuild.2010.06.021,"{heat, thermal, comfort}"
kuo (2010),,215,0.3345,8,0.3345,2010,56,8,6,"=MID(N427,FIND(""Title:"",N427)+15,FIND(""<"",N427,FIND(""Title:"",N427)+15)-FIND(""Title:"",N427)-15)","=MID(N427,FIND(""Source:"",N427)+16,FIND("","",N427,FIND(""Source:"",N427)+15)-FIND(""Source:"",N427)-16)","<table><tr><td>Authors:</td><td>kuo, yl; perrings, c</td></tr><tr><td>Title:</td><td>wasting time? recycling incentives in urban taiwan and japan</td></tr><tr><td>Source:</td><td>environmental & resource economics, 47(3), 423-437</td></tr><tr><td>Year:</td><td>2010</td></tr></table>",http://dx.doi.org/10.1007/s10640-010-9386-1,"{recycl, household, collect}"
verhetsel (2010),,114,0.4599,11,0.4599,2010,99,11,7,"=MID(N428,FIND(""Title:"",N428)+15,FIND(""<"",N428,FIND(""Title:"",N428)+15)-FIND(""Title:"",N428)-15)","=MID(N428,FIND(""Source:"",N428)+16,FIND("","",N428,FIND(""Source:"",N428)+15)-FIND(""Source:"",N428)-16)","<table><tr><td>Authors:</td><td>verhetsel, a; vanelslander, t</td></tr><tr><td>Title:</td><td>what location policy can bring to sustainable commuting: an empirical study in brussels and flanders, belgium</td></tr><tr><td>Source:</td><td>journal of transport geography, 18(6), 691-701</td></tr><tr><td>Year:</td><td>2010</td></tr></table>",http://dx.doi.org/10.1016/j.jtrangeo.2009.11.003,"{travel, mode, choic}"
brekke (2010),,89,0.7526,18,0.7526,2010,46,18,6,"=MID(N429,FIND(""Title:"",N429)+15,FIND(""<"",N429,FIND(""Title:"",N429)+15)-FIND(""Title:"",N429)-15)","=MID(N429,FIND(""Source:"",N429)+16,FIND("","",N429,FIND(""Source:"",N429)+15)-FIND(""Source:"",N429)-16)","<table><tr><td>Authors:</td><td>brekke, ka; kipperberg, g; nyborg, k</td></tr><tr><td>Title:</td><td>social interaction in responsibility ascription: the case of household recycling</td></tr><tr><td>Source:</td><td>land economics, 86(4), 766-784</td></tr><tr><td>Year:</td><td>2010</td></tr></table>",,
sagaris (2010),,129,0.2091,5,0.2091,2010,88,5,5,"=MID(N430,FIND(""Title:"",N430)+15,FIND(""<"",N430,FIND(""Title:"",N430)+15)-FIND(""Title:"",N430)-15)","=MID(N430,FIND(""Source:"",N430)+16,FIND("","",N430,FIND(""Source:"",N430)+15)-FIND(""Source:"",N430)-16)","<table><tr><td>Authors:</td><td>sagaris, l</td></tr><tr><td>Title:</td><td>from sustainable transport development to active citizenship and participatory democracy: the experience of living city in chile</td></tr><tr><td>Source:</td><td>natural resources forum, 34(4), 275-288</td></tr><tr><td>Year:</td><td>2010</td></tr></table>",http://dx.doi.org/10.1111/j.1477-8947.2010.01312.x,"{develop, sustain, plan}"
wei (2010),,67,0.2927,7,0.2927,2010,66,7,7,"=MID(N431,FIND(""Title:"",N431)+15,FIND(""<"",N431,FIND(""Title:"",N431)+15)-FIND(""Title:"",N431)-15)","=MID(N431,FIND(""Source:"",N431)+16,FIND("","",N431,FIND(""Source:"",N431)+15)-FIND(""Source:"",N431)-16)","<table><tr><td>Authors:</td><td>wei, ch; kao, cy</td></tr><tr><td>Title:</td><td>measuring traveler involvement in urban public transport services: the case of kaohsiung</td></tr><tr><td>Source:</td><td>transport policy, 17(6), 444-453</td></tr><tr><td>Year:</td><td>2010</td></tr></table>",http://dx.doi.org/10.1016/j.tranpol.2010.04.011,"{transport, public, access}"
cole (2010),,124,0.4181,10,0.4181,2010,81,10,5,"=MID(N432,FIND(""Title:"",N432)+15,FIND(""<"",N432,FIND(""Title:"",N432)+15)-FIND(""Title:"",N432)-15)","=MID(N432,FIND(""Source:"",N432)+16,FIND("","",N432,FIND(""Source:"",N432)+15)-FIND(""Source:"",N432)-16)","<table><tr><td>Authors:</td><td>cole, r; burke, m; leslie, e; donald, m; owen, n</td></tr><tr><td>Title:</td><td>perceptions of representatives of public, private, and community sector institutions of the barriers and enablers for physically active transport</td></tr><tr><td>Source:</td><td>transport policy, 17(6), 496-504</td></tr><tr><td>Year:</td><td>2010</td></tr></table>",http://dx.doi.org/10.1016/j.tranpol.2010.05.003,"{activ, school, health}"
